,checkpoint-24000
agreement_determiner_noun-across_1_adjective,0.819
agreement_determiner_noun-between_neighbors,0.9025
agreement_subject_verb-across_prepositional_phrase,0.6095
agreement_subject_verb-across_relative_clause,0.5845
agreement_subject_verb-in_question_with_aux,0.648
agreement_subject_verb-in_simple_question,0.748
anaphor_agreement-pronoun_gender,0.7875
argument_structure-dropped_argument,0.9405
argument_structure-swapped_arguments,0.992
argument_structure-transitive,0.7255
binding-principle_a,0.718
case-subjective_pronoun,0.999
ellipsis-n_bar,0.3825
filler-gap-wh_question_object,0.9265
filler-gap-wh_question_subject,0.9785
irregular-verb,0.969
island-effects-adjunct_island,0.56
island-effects-coordinate_structure_constraint,0.6505
local_attractor-in_question_with_aux,0.9185
npi_licensing-matrix_question,0.432
npi_licensing-only_npi_licensor,0.9155
quantifiers-existential_there,0.959
quantifiers-superlative,0.994
