,checkpoint-28000
agreement_determiner_noun-across_1_adjective,0.852
agreement_determiner_noun-between_neighbors,0.9105
agreement_subject_verb-across_prepositional_phrase,0.6295
agreement_subject_verb-across_relative_clause,0.627
agreement_subject_verb-in_question_with_aux,0.6825
agreement_subject_verb-in_simple_question,0.7985
anaphor_agreement-pronoun_gender,0.8475
argument_structure-dropped_argument,0.9315
argument_structure-swapped_arguments,0.971
argument_structure-transitive,0.707
binding-principle_a,0.8495
case-subjective_pronoun,0.996
ellipsis-n_bar,0.3855
filler-gap-wh_question_object,0.8745
filler-gap-wh_question_subject,0.9725
irregular-verb,0.945
island-effects-adjunct_island,0.4825
island-effects-coordinate_structure_constraint,0.686
local_attractor-in_question_with_aux,0.9495
npi_licensing-matrix_question,0.5735
npi_licensing-only_npi_licensor,0.8675
quantifiers-existential_there,0.9585
quantifiers-superlative,0.9945
