,checkpoint-28000
agreement_determiner_noun-across_1_adjective,0.799
agreement_determiner_noun-between_neighbors,0.8725
agreement_subject_verb-across_prepositional_phrase,0.5515
agreement_subject_verb-across_relative_clause,0.601
agreement_subject_verb-in_question_with_aux,0.672
agreement_subject_verb-in_simple_question,0.581
anaphor_agreement-pronoun_gender,0.8165
argument_structure-dropped_argument,0.9175
argument_structure-swapped_arguments,0.9565
argument_structure-transitive,0.643
binding-principle_a,0.8435
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.4775
filler-gap-wh_question_object,0.875
filler-gap-wh_question_subject,0.962
irregular-verb,0.9355
island-effects-adjunct_island,0.611
island-effects-coordinate_structure_constraint,0.758
local_attractor-in_question_with_aux,0.919
npi_licensing-matrix_question,0.586
npi_licensing-only_npi_licensor,0.567
quantifiers-existential_there,0.9125
quantifiers-superlative,0.872
