,checkpoint-32000
agreement_determiner_noun-across_1_adjective,0.8565
agreement_determiner_noun-between_neighbors,0.904
agreement_subject_verb-across_prepositional_phrase,0.564
agreement_subject_verb-across_relative_clause,0.6105
agreement_subject_verb-in_question_with_aux,0.7075
agreement_subject_verb-in_simple_question,0.8285
anaphor_agreement-pronoun_gender,0.769
argument_structure-dropped_argument,0.9225
argument_structure-swapped_arguments,0.964
argument_structure-transitive,0.6905
binding-principle_a,0.8545
case-subjective_pronoun,0.999
ellipsis-n_bar,0.4885
filler-gap-wh_question_object,0.8945
filler-gap-wh_question_subject,0.96
irregular-verb,0.9135
island-effects-adjunct_island,0.449
island-effects-coordinate_structure_constraint,0.8575
local_attractor-in_question_with_aux,0.973
npi_licensing-matrix_question,0.6445
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.9755
quantifiers-superlative,0.8225
