,best
agreement_determiner_noun-across_1_adjective,0.51
agreement_determiner_noun-between_neighbors,0.5205
agreement_subject_verb-across_prepositional_phrase,0.501
agreement_subject_verb-across_relative_clause,0.499
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.4865
anaphor_agreement-pronoun_gender,0.489
argument_structure-dropped_argument,0.5075
argument_structure-swapped_arguments,0.5935
argument_structure-transitive,0.4765
binding-principle_a,0.536
case-subjective_pronoun,0.6245
ellipsis-n_bar,0.2765
filler-gap-wh_question_object,0.3825
filler-gap-wh_question_subject,0.9005
irregular-verb,0.4975
island-effects-adjunct_island,0.7185
island-effects-coordinate_structure_constraint,0.177
local_attractor-in_question_with_aux,0.524
npi_licensing-matrix_question,0.2775
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.501
quantifiers-superlative,0.5195
