,checkpoint-40000
agreement_determiner_noun-across_1_adjective,0.78
agreement_determiner_noun-between_neighbors,0.773
agreement_subject_verb-across_prepositional_phrase,0.589
agreement_subject_verb-across_relative_clause,0.6095
agreement_subject_verb-in_question_with_aux,0.702
agreement_subject_verb-in_simple_question,0.614
anaphor_agreement-pronoun_gender,0.839
argument_structure-dropped_argument,0.8575
argument_structure-swapped_arguments,0.9765
argument_structure-transitive,0.594
binding-principle_a,0.827
case-subjective_pronoun,1.0
ellipsis-n_bar,0.5425
filler-gap-wh_question_object,0.969
filler-gap-wh_question_subject,0.968
irregular-verb,0.8825
island-effects-adjunct_island,0.4935
island-effects-coordinate_structure_constraint,0.7665
local_attractor-in_question_with_aux,0.876
npi_licensing-matrix_question,0.7495
npi_licensing-only_npi_licensor,0.1675
quantifiers-existential_there,0.9035
quantifiers-superlative,0.8255
