,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1447.813232421875), (1, 1017.6588745117188)]","[(0, 3931.245361328125), (1, 3319.659423828125)]","[(0, 2213.8955078125), (1, 2016.4420166015625)]","[(0, 2448.203125), (1, 2359.240966796875)]","[(0, 837.5553588867188), (1, 969.818603515625)]","[(0, 1585.188720703125), (1, 787.42822265625)]","[(0, 15297.294921875), (1, 12358.1787109375)]","[(0, 4373.037109375), (1, 2561.62158203125)]","[(0, 20659.9453125), (1, 11578.4423828125)]","[(0, 390491.0), (1, 160482.625)]","[(0, 7399.10205078125), (1, 11586.2734375)]","[(0, 8349.865234375), (1, 5006.01025390625)]","[(0, 13971.0361328125), (1, 15101.265625)]","[(0, 2999.033447265625), (1, 3200.489990234375)]","[(0, 5946.6328125), (1, 2929.5849609375)]","[(0, 2474.064697265625), (1, 2365.884033203125)]","[(0, 3087.49169921875), (1, 2395.191650390625)]","[(0, 3771.58447265625), (1, 3034.77294921875)]","[(0, 1735.627197265625), (1, 2193.99951171875)]","[(0, 1834.578857421875), (1, 1426.3175048828125)]","[(0, 8563.861328125), (1, 8126.89697265625)]","[(0, 1740.771728515625), (1, 998.4739379882812)]","[(0, 444.6121520996094), (1, 485.728515625)]"
1,"[(0, 2476.198486328125), (1, 2554.197509765625)]","[(0, 2986.091064453125), (1, 2745.3388671875)]","[(0, 2719.3037109375), (1, 2449.025146484375)]","[(0, 1505.242919921875), (1, 1514.241455078125)]","[(0, 483.8908996582031), (1, 382.7716979980469)]","[(0, 1074.2481689453125), (1, 588.2648315429688)]","[(0, 5546.76806640625), (1, 6933.466796875)]","[(0, 3379.55322265625), (1, 2763.02099609375)]","[(0, 6316.974609375), (1, 2605.79443359375)]","[(0, 50447.07421875), (1, 33913.45703125)]","[(0, 13088.42578125), (1, 17270.380859375)]","[(0, 7166.79931640625), (1, 3277.687744140625)]","[(0, 14229.263671875), (1, 15918.7646484375)]","[(0, 3350.108154296875), (1, 4535.28173828125)]","[(0, 5356.4755859375), (1, 3782.776611328125)]","[(0, 1100.1160888671875), (1, 1391.7337646484375)]","[(0, 1493.209228515625), (1, 1180.465087890625)]","[(0, 2894.660400390625), (1, 3637.541748046875)]","[(0, 13560.099609375), (1, 20042.8203125)]","[(0, 2090.97607421875), (1, 2067.70849609375)]","[(0, 3082.402099609375), (1, 2797.558837890625)]","[(0, 2466.89404296875), (1, 1500.5460205078125)]","[(0, 2481.030029296875), (1, 2950.81787109375)]"
2,"[(0, 1942.404541015625), (1, 2126.879638671875)]","[(0, 2066.830322265625), (1, 1696.2066650390625)]","[(0, 2739.318359375), (1, 2486.83740234375)]","[(0, 1766.0328369140625), (1, 1787.00537109375)]","[(0, 478.28125), (1, 406.287109375)]","[(0, 835.0079956054688), (1, 379.5823974609375)]","[(0, 3391.44775390625), (1, 3158.04296875)]","[(0, 3380.894287109375), (1, 2316.609375)]","[(0, 13210.9453125), (1, 3971.570068359375)]","[(0, 132386.234375), (1, 202235.453125)]","[(0, 9094.4560546875), (1, 10961.171875)]","[(0, 7258.703125), (1, 1882.0595703125)]","[(0, 14605.6513671875), (1, 13872.8671875)]","[(0, 3078.2333984375), (1, 2421.3544921875)]","[(0, 8427.103515625), (1, 5539.98046875)]","[(0, 2560.48095703125), (1, 1803.191650390625)]","[(0, 9359.998046875), (1, 10122.4619140625)]","[(0, 1576.1185302734375), (1, 1241.4825439453125)]","[(0, 2332.96923828125), (1, 1863.1502685546875)]","[(0, 4254.56689453125), (1, 4549.60302734375)]","[(0, 4964.68505859375), (1, 4443.1650390625)]","[(0, 2982.12939453125), (1, 2084.1513671875)]","[(0, 999.5538330078125), (1, 923.9774169921875)]"
3,"[(0, 4009.01123046875), (1, 2699.626953125)]","[(0, 1561.560302734375), (1, 1398.7734375)]","[(0, 3481.12353515625), (1, 3169.269775390625)]","[(0, 1629.0384521484375), (1, 1655.42529296875)]","[(0, 4579.23388671875), (1, 3888.2099609375)]","[(0, 6134.521484375), (1, 2754.801513671875)]","[(0, 3269.947998046875), (1, 3672.2646484375)]","[(0, 5828.9287109375), (1, 5220.70458984375)]","[(0, 13264.5), (1, 2111.412109375)]","[(0, 83118.9296875), (1, 101415.3203125)]","[(0, 15756.5791015625), (1, 14924.7890625)]","[(0, 9144.8818359375), (1, 3095.729736328125)]","[(0, 11917.0791015625), (1, 11330.7724609375)]","[(0, 3391.327880859375), (1, 3288.354736328125)]","[(0, 7216.77783203125), (1, 5433.22607421875)]","[(0, 1089.2962646484375), (1, 1338.09375)]","[(0, 4484.17578125), (1, 4989.65234375)]","[(0, 2384.946044921875), (1, 2278.32861328125)]","[(0, 5095.60546875), (1, 3333.09375)]","[(0, 8923.87109375), (1, 35005.70703125)]","[(0, 3715.063232421875), (1, 3297.317138671875)]","[(0, 3258.87744140625), (1, 2177.996337890625)]","[(0, 2521.26416015625), (1, 2761.194091796875)]"
4,"[(0, 1547.084716796875), (1, 1042.21630859375)]","[(0, 3277.328369140625), (1, 3121.91748046875)]","[(0, 2651.2001953125), (1, 2903.230712890625)]","[(0, 1454.0184326171875), (1, 1423.9873046875)]","[(0, 2983.27294921875), (1, 2298.4072265625)]","[(0, 1068.2105712890625), (1, 606.7491455078125)]","[(0, 11982.310546875), (1, 12840.4140625)]","[(0, 4703.88232421875), (1, 4034.30908203125)]","[(0, 12340.630859375), (1, 4776.30810546875)]","[(0, 20549.376953125), (1, 11133.5732421875)]","[(0, 8967.3974609375), (1, 7441.9873046875)]","[(0, 8894.55078125), (1, 4057.93212890625)]","[(0, 8261.0986328125), (1, 8646.12109375)]","[(0, 2031.8936767578125), (1, 2500.619140625)]","[(0, 6057.70556640625), (1, 4880.876953125)]","[(0, 4425.84716796875), (1, 2916.798828125)]","[(0, 5419.33154296875), (1, 5347.13525390625)]","[(0, 1546.0655517578125), (1, 1156.740966796875)]","[(0, 3527.24365234375), (1, 2827.055419921875)]","[(0, 6724.8779296875), (1, 8896.6708984375)]","[(0, 1716.8704833984375), (1, 1639.036865234375)]","[(0, 1580.286865234375), (1, 1165.187744140625)]","[(0, 2693.541259765625), (1, 3133.747802734375)]"
5,"[(0, 1246.2037353515625), (1, 1281.377197265625)]","[(0, 2761.907958984375), (1, 2424.122314453125)]","[(0, 1774.808349609375), (1, 1999.0733642578125)]","[(0, 2215.441650390625), (1, 2261.814697265625)]","[(0, 2968.487060546875), (1, 1911.120849609375)]","[(0, 2148.130615234375), (1, 1117.1441650390625)]","[(0, 6599.56982421875), (1, 6380.02490234375)]","[(0, 9816.333984375), (1, 5949.68994140625)]","[(0, 18001.58203125), (1, 3588.79833984375)]","[(0, 101554.59375), (1, 67423.8046875)]","[(0, 5012.39697265625), (1, 6455.06982421875)]","[(0, 6209.89404296875), (1, 2240.74853515625)]","[(0, 7217.47265625), (1, 7083.2431640625)]","[(0, 3045.720947265625), (1, 4140.4072265625)]","[(0, 4302.12451171875), (1, 5198.64990234375)]","[(0, 1527.41455078125), (1, 1202.9132080078125)]","[(0, 2471.70751953125), (1, 2270.6748046875)]","[(0, 2477.644287109375), (1, 1797.2718505859375)]","[(0, 28126.400390625), (1, 17126.66796875)]","[(0, 14408.0244140625), (1, 33942.70703125)]","[(0, 1725.234619140625), (1, 1585.0208740234375)]","[(0, 2818.446533203125), (1, 1968.6767578125)]","[(0, 554.7667846679688), (1, 660.61279296875)]"
6,"[(0, 956.3421630859375), (1, 1055.080078125)]","[(0, 3201.6318359375), (1, 2929.936767578125)]","[(0, 3057.14892578125), (1, 3394.59619140625)]","[(0, 1251.80517578125), (1, 1199.4130859375)]","[(0, 1117.333251953125), (1, 935.3666381835938)]","[(0, 1389.328857421875), (1, 729.3763427734375)]","[(0, 6365.26220703125), (1, 6790.92431640625)]","[(0, 8367.76953125), (1, 5343.47021484375)]","[(0, 13495.078125), (1, 5304.3447265625)]","[(0, 65556.7578125), (1, 140722.421875)]","[(0, 6082.63916015625), (1, 6415.77294921875)]","[(0, 18252.173828125), (1, 7603.82080078125)]","[(0, 6494.0009765625), (1, 8742.3173828125)]","[(0, 8562.6201171875), (1, 8111.94482421875)]","[(0, 11936.255859375), (1, 5867.1767578125)]","[(0, 7944.037109375), (1, 6974.3046875)]","[(0, 5155.47412109375), (1, 4854.32861328125)]","[(0, 3280.8369140625), (1, 2622.7490234375)]","[(0, 3117.891845703125), (1, 2214.411865234375)]","[(0, 7486.984375), (1, 8986.9765625)]","[(0, 4947.73974609375), (1, 5007.20849609375)]","[(0, 2435.537109375), (1, 1557.462158203125)]","[(0, 1944.85498046875), (1, 1864.907470703125)]"
7,"[(0, 4082.12158203125), (1, 2670.418212890625)]","[(0, 2712.69091796875), (1, 2318.98681640625)]","[(0, 2666.506591796875), (1, 2948.854248046875)]","[(0, 2580.523681640625), (1, 2550.55712890625)]","[(0, 467.2604675292969), (1, 537.0833740234375)]","[(0, 2008.2396240234375), (1, 1040.0582275390625)]","[(0, 4197.8876953125), (1, 4086.00830078125)]","[(0, 7544.61865234375), (1, 1622.0732421875)]","[(0, 19554.251953125), (1, 1977.9185791015625)]","[(0, 59980.9609375), (1, 45509.8984375)]","[(0, 3932.058837890625), (1, 4511.84765625)]","[(0, 4089.630126953125), (1, 3232.163330078125)]","[(0, 7875.2138671875), (1, 10166.9951171875)]","[(0, 15546.9521484375), (1, 14709.146484375)]","[(0, 8567.1123046875), (1, 5406.400390625)]","[(0, 5000.04150390625), (1, 6006.662109375)]","[(0, 2711.585205078125), (1, 2540.774658203125)]","[(0, 2411.097900390625), (1, 3187.574951171875)]","[(0, 3478.03759765625), (1, 2388.56396484375)]","[(0, 10650.90625), (1, 25876.658203125)]","[(0, 2479.221923828125), (1, 2165.90380859375)]","[(0, 1819.2208251953125), (1, 1291.4892578125)]","[(0, 4213.66259765625), (1, 4636.2705078125)]"
8,"[(0, 1249.6961669921875), (1, 1524.77734375)]","[(0, 6833.99853515625), (1, 7282.5419921875)]","[(0, 3618.384033203125), (1, 3336.302734375)]","[(0, 1585.400390625), (1, 1508.297119140625)]","[(0, 440.4788513183594), (1, 500.44036865234375)]","[(0, 1437.0423583984375), (1, 807.9036254882812)]","[(0, 2682.689697265625), (1, 2524.83251953125)]","[(0, 5833.18310546875), (1, 3176.6044921875)]","[(0, 7863.18359375), (1, 4537.87744140625)]","[(0, 2286.650146484375), (1, 1653.9853515625)]","[(0, 1835.727783203125), (1, 2208.70556640625)]","[(0, 9895.45703125), (1, 4955.3662109375)]","[(0, 23799.486328125), (1, 25037.236328125)]","[(0, 3690.73583984375), (1, 2908.597412109375)]","[(0, 7324.3603515625), (1, 5273.93896484375)]","[(0, 4683.78271484375), (1, 3891.53759765625)]","[(0, 2913.587646484375), (1, 2451.86572265625)]","[(0, 1206.873046875), (1, 983.21484375)]","[(0, 2509.07666015625), (1, 3420.248046875)]","[(0, 3712.690185546875), (1, 3907.282958984375)]","[(0, 2477.261474609375), (1, 2212.67041015625)]","[(0, 1503.8790283203125), (1, 1320.42333984375)]","[(0, 768.2296142578125), (1, 695.2901000976562)]"
9,"[(0, 2576.709716796875), (1, 1975.906982421875)]","[(0, 5406.4990234375), (1, 5658.31591796875)]","[(0, 6200.69189453125), (1, 5909.38818359375)]","[(0, 1841.65380859375), (1, 1742.4576416015625)]","[(0, 4217.98046875), (1, 4729.2509765625)]","[(0, 1632.4833984375), (1, 721.840576171875)]","[(0, 2680.09033203125), (1, 2987.2216796875)]","[(0, 10033.751953125), (1, 5632.75244140625)]","[(0, 8167.22119140625), (1, 5069.07861328125)]","[(0, 51030.1484375), (1, 49560.01953125)]","[(0, 2482.43603515625), (1, 2993.98681640625)]","[(0, 7862.04443359375), (1, 2468.67578125)]","[(0, 22477.376953125), (1, 23538.103515625)]","[(0, 5070.64501953125), (1, 4542.9912109375)]","[(0, 7198.28076171875), (1, 6339.60009765625)]","[(0, 3263.34033203125), (1, 4021.694091796875)]","[(0, 1337.7198486328125), (1, 1085.6617431640625)]","[(0, 1812.280517578125), (1, 2092.804443359375)]","[(0, 4785.76904296875), (1, 4447.49365234375)]","[(0, 1813.68359375), (1, 3367.276611328125)]","[(0, 1798.5631103515625), (1, 1539.077880859375)]","[(0, 2405.458251953125), (1, 2106.747802734375)]","[(0, 1193.845947265625), (1, 1389.6959228515625)]"
