,checkpoint-40000
agreement_determiner_noun-across_1_adjective,0.8165
agreement_determiner_noun-between_neighbors,0.8655
agreement_subject_verb-across_prepositional_phrase,0.6425
agreement_subject_verb-across_relative_clause,0.6215
agreement_subject_verb-in_question_with_aux,0.749
agreement_subject_verb-in_simple_question,0.833
anaphor_agreement-pronoun_gender,0.9035
argument_structure-dropped_argument,0.9
argument_structure-swapped_arguments,0.975
argument_structure-transitive,0.673
binding-principle_a,0.869
case-subjective_pronoun,0.998
ellipsis-n_bar,0.5095
filler-gap-wh_question_object,0.917
filler-gap-wh_question_subject,0.965
irregular-verb,0.941
island-effects-adjunct_island,0.492
island-effects-coordinate_structure_constraint,0.7865
local_attractor-in_question_with_aux,0.9455
npi_licensing-matrix_question,0.622
npi_licensing-only_npi_licensor,0.871
quantifiers-existential_there,0.9515
quantifiers-superlative,0.9685
