,best
agreement_determiner_noun-across_1_adjective,0.466
agreement_determiner_noun-between_neighbors,0.4055
agreement_subject_verb-across_prepositional_phrase,0.5055
agreement_subject_verb-across_relative_clause,0.51
agreement_subject_verb-in_question_with_aux,0.455
agreement_subject_verb-in_simple_question,0.5025
anaphor_agreement-pronoun_gender,0.5255
argument_structure-dropped_argument,0.6505
argument_structure-swapped_arguments,0.928
argument_structure-transitive,0.533
binding-principle_a,0.47
case-subjective_pronoun,0.9025
ellipsis-n_bar,0.192
filler-gap-wh_question_object,0.239
filler-gap-wh_question_subject,1.0
irregular-verb,0.521
island-effects-adjunct_island,0.52
island-effects-coordinate_structure_constraint,0.692
local_attractor-in_question_with_aux,0.7075
npi_licensing-matrix_question,0.628
npi_licensing-only_npi_licensor,0.917
quantifiers-existential_there,0.815
quantifiers-superlative,0.0655
