,checkpoint-12000
agreement_determiner_noun-across_1_adjective,0.5385
agreement_determiner_noun-between_neighbors,0.6105
agreement_subject_verb-across_prepositional_phrase,0.5195
agreement_subject_verb-across_relative_clause,0.5215
agreement_subject_verb-in_question_with_aux,0.5375
agreement_subject_verb-in_simple_question,0.525
anaphor_agreement-pronoun_gender,0.5255
argument_structure-dropped_argument,0.9015
argument_structure-swapped_arguments,0.996
argument_structure-transitive,0.648
binding-principle_a,0.6855
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2955
filler-gap-wh_question_object,0.8815
filler-gap-wh_question_subject,1.0
irregular-verb,0.913
island-effects-adjunct_island,0.4465
island-effects-coordinate_structure_constraint,0.6885
local_attractor-in_question_with_aux,0.573
npi_licensing-matrix_question,0.466
npi_licensing-only_npi_licensor,0.364
quantifiers-existential_there,0.767
quantifiers-superlative,0.8775
