,checkpoint-32000
agreement_determiner_noun-across_1_adjective,0.821
agreement_determiner_noun-between_neighbors,0.875
agreement_subject_verb-across_prepositional_phrase,0.6125
agreement_subject_verb-across_relative_clause,0.6035
agreement_subject_verb-in_question_with_aux,0.707
agreement_subject_verb-in_simple_question,0.789
anaphor_agreement-pronoun_gender,0.9105
argument_structure-dropped_argument,0.91
argument_structure-swapped_arguments,0.9805
argument_structure-transitive,0.6935
binding-principle_a,0.839
case-subjective_pronoun,0.996
ellipsis-n_bar,0.4455
filler-gap-wh_question_object,0.883
filler-gap-wh_question_subject,0.976
irregular-verb,0.9345
island-effects-adjunct_island,0.5235
island-effects-coordinate_structure_constraint,0.7105
local_attractor-in_question_with_aux,0.9005
npi_licensing-matrix_question,0.61
npi_licensing-only_npi_licensor,0.826
quantifiers-existential_there,0.9535
quantifiers-superlative,0.9955
