,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 8052.44091796875), (1, 11757.669921875)]","[(0, 17993.703125), (1, 30983.5390625)]","[(0, 3313.779052734375), (1, 4049.052490234375)]","[(0, 6609.685546875), (1, 8298.099609375)]","[(0, 25372.3828125), (1, 28779.69921875)]","[(0, 27692.796875), (1, 18228.150390625)]","[(0, 12685.822265625), (1, 12035.2783203125)]","[(0, 9246.064453125), (1, 4604.13720703125)]","[(0, 8974.0791015625), (1, 15604.2001953125)]","[(0, 12349.1181640625), (1, 11864.7900390625)]","[(0, 8614.8857421875), (1, 10193.0615234375)]","[(0, 9176.228515625), (1, 6724.00634765625)]","[(0, 11179.962890625), (1, 10772.962890625)]","[(0, 13070.4521484375), (1, 12119.3115234375)]","[(0, 7573.46142578125), (1, 6683.37109375)]","[(0, 4390.55078125), (1, 3681.255126953125)]","[(0, 6109.9697265625), (1, 6708.33935546875)]","[(0, 6785.8681640625), (1, 6110.587890625)]","[(0, 7071.22900390625), (1, 4716.9990234375)]","[(0, 4723.93212890625), (1, 5928.36572265625)]","[(0, 19654.05078125), (1, 13276.9775390625)]","[(0, 7341.03857421875), (1, 6563.5107421875)]","[(0, 18858.787109375), (1, 19259.189453125)]"
1,"[(0, 23249.6796875), (1, 44913.3828125)]","[(0, 21445.28125), (1, 32042.603515625)]","[(0, 3432.66845703125), (1, 4328.3681640625)]","[(0, 3862.822509765625), (1, 5244.33251953125)]","[(0, 6101.8701171875), (1, 6526.19775390625)]","[(0, 5402.09228515625), (1, 3089.2060546875)]","[(0, 5469.51416015625), (1, 5546.85791015625)]","[(0, 5654.15185546875), (1, 3160.25146484375)]","[(0, 4132.59228515625), (1, 10134.720703125)]","[(0, 7952.50439453125), (1, 7886.322265625)]","[(0, 8875.7978515625), (1, 10585.380859375)]","[(0, 5418.9130859375), (1, 2961.234375)]","[(0, 8794.6484375), (1, 9252.5380859375)]","[(0, 10594.89453125), (1, 10076.7119140625)]","[(0, 8198.9609375), (1, 6922.49267578125)]","[(0, 3617.9873046875), (1, 4472.16650390625)]","[(0, 5714.99853515625), (1, 6289.3115234375)]","[(0, 7564.32275390625), (1, 6838.17724609375)]","[(0, 7801.35986328125), (1, 6475.62060546875)]","[(0, 5915.3759765625), (1, 7794.7705078125)]","[(0, 27666.556640625), (1, 18091.162109375)]","[(0, 5577.99169921875), (1, 5240.00341796875)]","[(0, 9274.916015625), (1, 10738.4052734375)]"
2,"[(0, 18029.689453125), (1, 27460.47265625)]","[(0, 13954.32421875), (1, 22294.9296875)]","[(0, 2925.394287109375), (1, 3364.670166015625)]","[(0, 4218.048828125), (1, 5731.00634765625)]","[(0, 19479.076171875), (1, 23665.90625)]","[(0, 5620.3896484375), (1, 3719.916748046875)]","[(0, 5769.27197265625), (1, 5590.46923828125)]","[(0, 5128.796875), (1, 5354.1416015625)]","[(0, 8116.9052734375), (1, 4204.67822265625)]","[(0, 4383.30859375), (1, 7097.767578125)]","[(0, 10171.0693359375), (1, 8280.060546875)]","[(0, 6199.59814453125), (1, 14823.91796875)]","[(0, 9045.7490234375), (1, 8406.859375)]","[(0, 5220.60986328125), (1, 5348.134765625)]","[(0, 4828.85498046875), (1, 4041.2021484375)]","[(0, 12070.6240234375), (1, 10116.03515625)]","[(0, 6897.62255859375), (1, 7188.9921875)]","[(0, 5433.66650390625), (1, 5041.5400390625)]","[(0, 7306.61865234375), (1, 8828.615234375)]","[(0, 6508.6953125), (1, 5214.22607421875)]","[(0, 9185.9208984375), (1, 7067.001953125)]","[(0, 11379.69921875), (1, 10759.4814453125)]","[(0, 13098.3037109375), (1, 14416.5732421875)]"
3,"[(0, 4715.47900390625), (1, 6005.44775390625)]","[(0, 16948.248046875), (1, 25237.12109375)]","[(0, 2891.22802734375), (1, 3417.3203125)]","[(0, 4586.57666015625), (1, 6056.146484375)]","[(0, 22526.412109375), (1, 24478.4140625)]","[(0, 9192.888671875), (1, 7171.51708984375)]","[(0, 15580.779296875), (1, 16154.205078125)]","[(0, 12556.6357421875), (1, 6058.22607421875)]","[(0, 7957.03369140625), (1, 10512.3330078125)]","[(0, 18032.767578125), (1, 15046.2783203125)]","[(0, 9799.7587890625), (1, 8300.6552734375)]","[(0, 5261.013671875), (1, 15824.7978515625)]","[(0, 10313.9228515625), (1, 9347.4287109375)]","[(0, 4611.97216796875), (1, 5111.1259765625)]","[(0, 5660.62548828125), (1, 4677.00244140625)]","[(0, 8013.00439453125), (1, 9493.4345703125)]","[(0, 6534.53759765625), (1, 6783.13134765625)]","[(0, 4347.92822265625), (1, 4848.8828125)]","[(0, 4257.728515625), (1, 3703.153076171875)]","[(0, 9555.9921875), (1, 6805.2001953125)]","[(0, 6871.84521484375), (1, 5645.2021484375)]","[(0, 8752.853515625), (1, 8019.03564453125)]","[(0, 7755.72998046875), (1, 10466.3984375)]"
4,"[(0, 7193.0859375), (1, 10129.1064453125)]","[(0, 6951.111328125), (1, 5777.39892578125)]","[(0, 3532.794921875), (1, 3075.507568359375)]","[(0, 5496.02392578125), (1, 7421.05126953125)]","[(0, 14585.705078125), (1, 15807.1806640625)]","[(0, 7938.6904296875), (1, 6853.0166015625)]","[(0, 14097.986328125), (1, 13587.2958984375)]","[(0, 6157.609375), (1, 4326.3125)]","[(0, 4907.8134765625), (1, 3299.9375)]","[(0, 13166.396484375), (1, 7995.10400390625)]","[(0, 6495.72900390625), (1, 5973.529296875)]","[(0, 7777.958984375), (1, 5422.578125)]","[(0, 5917.42431640625), (1, 6034.486328125)]","[(0, 3746.94775390625), (1, 3647.779296875)]","[(0, 5676.6923828125), (1, 4770.67236328125)]","[(0, 10638.4404296875), (1, 8975.59375)]","[(0, 10380.798828125), (1, 11196.650390625)]","[(0, 4036.048583984375), (1, 3406.4912109375)]","[(0, 5666.458984375), (1, 7146.18798828125)]","[(0, 5453.39404296875), (1, 12165.45703125)]","[(0, 5888.19677734375), (1, 4552.23779296875)]","[(0, 9321.7109375), (1, 8833.3984375)]","[(0, 6432.39404296875), (1, 11122.3125)]"
5,"[(0, 15815.48828125), (1, 30546.935546875)]","[(0, 7980.97314453125), (1, 6476.4609375)]","[(0, 3582.359375), (1, 3036.255126953125)]","[(0, 5329.7744140625), (1, 7230.548828125)]","[(0, 13246.8251953125), (1, 13412.8466796875)]","[(0, 7810.642578125), (1, 6474.54052734375)]","[(0, 10998.7431640625), (1, 11989.7294921875)]","[(0, 10719.037109375), (1, 10743.875)]","[(0, 7591.546875), (1, 14620.9111328125)]","[(0, 11521.8359375), (1, 8490.0966796875)]","[(0, 16248.888671875), (1, 14747.1689453125)]","[(0, 9367.79296875), (1, 13349.6015625)]","[(0, 16687.97265625), (1, 15443.392578125)]","[(0, 4425.27685546875), (1, 4074.47119140625)]","[(0, 6221.2158203125), (1, 5335.87744140625)]","[(0, 7435.935546875), (1, 8423.005859375)]","[(0, 9436.4326171875), (1, 10638.10546875)]","[(0, 4190.11181640625), (1, 3895.10205078125)]","[(0, 7364.48046875), (1, 5421.58056640625)]","[(0, 4941.322265625), (1, 9932.064453125)]","[(0, 6891.11962890625), (1, 5031.35302734375)]","[(0, 8505.0322265625), (1, 7710.05224609375)]","[(0, 9266.73828125), (1, 9733.0810546875)]"
6,"[(0, 13372.3076171875), (1, 21098.7734375)]","[(0, 11025.9755859375), (1, 8140.0830078125)]","[(0, 4074.641845703125), (1, 3604.421875)]","[(0, 4070.113525390625), (1, 5498.2099609375)]","[(0, 20360.041015625), (1, 17671.455078125)]","[(0, 6267.14013671875), (1, 5224.30078125)]","[(0, 8020.52734375), (1, 7261.59033203125)]","[(0, 6059.9130859375), (1, 3352.08935546875)]","[(0, 5334.4375), (1, 2982.021484375)]","[(0, 10633.044921875), (1, 10962.322265625)]","[(0, 6546.3134765625), (1, 6221.2099609375)]","[(0, 14209.11328125), (1, 39302.57421875)]","[(0, 13730.28125), (1, 16899.265625)]","[(0, 4035.879150390625), (1, 3633.30810546875)]","[(0, 5358.0390625), (1, 4462.69921875)]","[(0, 8850.4404296875), (1, 10509.3662109375)]","[(0, 4308.25439453125), (1, 4473.4287109375)]","[(0, 4841.16162109375), (1, 4403.98681640625)]","[(0, 7471.7841796875), (1, 6901.978515625)]","[(0, 11448.275390625), (1, 9905.7197265625)]","[(0, 6956.4033203125), (1, 5294.24755859375)]","[(0, 8207.4404296875), (1, 8167.63427734375)]","[(0, 4973.404296875), (1, 5870.61328125)]"
7,"[(0, 3675.23193359375), (1, 4674.7861328125)]","[(0, 12870.107421875), (1, 9503.3623046875)]","[(0, 4100.33056640625), (1, 3548.361083984375)]","[(0, 6493.56103515625), (1, 5211.94384765625)]","[(0, 3567.43017578125), (1, 3435.83251953125)]","[(0, 17068.685546875), (1, 10026.90234375)]","[(0, 9019.6650390625), (1, 10355.2099609375)]","[(0, 3609.64697265625), (1, 2764.903076171875)]","[(0, 4451.2109375), (1, 7170.1357421875)]","[(0, 4083.1025390625), (1, 6212.54150390625)]","[(0, 16711.87890625), (1, 16130.09765625)]","[(0, 4977.7607421875), (1, 3042.2666015625)]","[(0, 18794.3671875), (1, 21087.02734375)]","[(0, 4518.9228515625), (1, 4512.755859375)]","[(0, 5494.5146484375), (1, 4672.27685546875)]","[(0, 8935.6494140625), (1, 7621.80419921875)]","[(0, 4042.7939453125), (1, 4264.87255859375)]","[(0, 5442.92431640625), (1, 6607.6435546875)]","[(0, 3157.1064453125), (1, 2928.315185546875)]","[(0, 13638.9150390625), (1, 9207.505859375)]","[(0, 8857.947265625), (1, 5964.06884765625)]","[(0, 6673.06005859375), (1, 6720.486328125)]","[(0, 8673.3740234375), (1, 14549.90234375)]"
8,"[(0, 9543.1689453125), (1, 6796.12060546875)]","[(0, 20585.251953125), (1, 17820.744140625)]","[(0, 5210.13525390625), (1, 6388.92578125)]","[(0, 4130.3779296875), (1, 3051.515625)]","[(0, 14313.5673828125), (1, 11614.572265625)]","[(0, 3564.59375), (1, 2028.9659423828125)]","[(0, 3305.985595703125), (1, 2987.59228515625)]","[(0, 5375.34326171875), (1, 4952.86669921875)]","[(0, 4522.61767578125), (1, 2342.390869140625)]","[(0, 8363.0625), (1, 5358.61083984375)]","[(0, 6190.19287109375), (1, 6783.44873046875)]","[(0, 4564.109375), (1, 15047.0107421875)]","[(0, 11564.9560546875), (1, 11042.5185546875)]","[(0, 4475.7119140625), (1, 4277.5859375)]","[(0, 5235.77197265625), (1, 4397.07861328125)]","[(0, 22753.41796875), (1, 10144.5546875)]","[(0, 10804.724609375), (1, 11078.46484375)]","[(0, 4159.28857421875), (1, 3906.1279296875)]","[(0, 9749.4033203125), (1, 7385.404296875)]","[(0, 8354.62109375), (1, 4216.39990234375)]","[(0, 9721.966796875), (1, 7040.60498046875)]","[(0, 6890.04833984375), (1, 6696.72509765625)]","[(0, 13014.0703125), (1, 16093.0986328125)]"
9,"[(0, 7942.87890625), (1, 5362.833984375)]","[(0, 24775.86328125), (1, 21741.65234375)]","[(0, 5158.646484375), (1, 6236.208984375)]","[(0, 4609.79150390625), (1, 3435.9013671875)]","[(0, 16504.080078125), (1, 15036.3818359375)]","[(0, 3965.756591796875), (1, 2578.32470703125)]","[(0, 2980.4833984375), (1, 3185.22900390625)]","[(0, 8186.630859375), (1, 5283.42333984375)]","[(0, 4987.087890625), (1, 9655.2275390625)]","[(0, 18336.947265625), (1, 16770.087890625)]","[(0, 6547.974609375), (1, 7294.82421875)]","[(0, 7366.68603515625), (1, 15155.5263671875)]","[(0, 9959.1630859375), (1, 9881.490234375)]","[(0, 4478.32470703125), (1, 4462.66552734375)]","[(0, 6288.71142578125), (1, 5195.2802734375)]","[(0, 8330.6484375), (1, 15550.169921875)]","[(0, 10984.64453125), (1, 11955.12109375)]","[(0, 5329.67822265625), (1, 5055.46435546875)]","[(0, 5379.03564453125), (1, 6192.53662109375)]","[(0, 6060.537109375), (1, 5380.45654296875)]","[(0, 11527.9912109375), (1, 8241.984375)]","[(0, 4063.024169921875), (1, 4199.548828125)]","[(0, 9225.5771484375), (1, 11509.0302734375)]"
