,best
agreement_determiner_noun-across_1_adjective,0.5085
agreement_determiner_noun-between_neighbors,0.5275
agreement_subject_verb-across_prepositional_phrase,0.5025
agreement_subject_verb-across_relative_clause,0.499
agreement_subject_verb-in_question_with_aux,0.5185
agreement_subject_verb-in_simple_question,0.4815
anaphor_agreement-pronoun_gender,0.489
argument_structure-dropped_argument,0.45
argument_structure-swapped_arguments,0.912
argument_structure-transitive,0.499
binding-principle_a,0.536
case-subjective_pronoun,0.963
ellipsis-n_bar,0.7415
filler-gap-wh_question_object,1.0
filler-gap-wh_question_subject,1.0
irregular-verb,0.472
island-effects-adjunct_island,0.8965
island-effects-coordinate_structure_constraint,0.1735
local_attractor-in_question_with_aux,0.3355
npi_licensing-matrix_question,0.639
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.3485
quantifiers-superlative,0.993
