,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 534.9793090820312), (1, 394.53143310546875)]","[(0, 1428.5472412109375), (1, 1294.3419189453125)]","[(0, 984.3421020507812), (1, 1063.4459228515625)]","[(0, 1646.9951171875), (1, 1249.129638671875)]","[(0, 775.2420654296875), (1, 707.109375)]","[(0, 406.45977783203125), (1, 200.15284729003906)]","[(0, 9785.2744140625), (1, 9389.6806640625)]","[(0, 1755.9078369140625), (1, 874.66455078125)]","[(0, 3587.128662109375), (1, 2389.782958984375)]","[(0, 12818.892578125), (1, 10159.96875)]","[(0, 4004.1357421875), (1, 5026.6865234375)]","[(0, 2930.056884765625), (1, 1103.0386962890625)]","[(0, 6151.046875), (1, 7494.85693359375)]","[(0, 1426.250732421875), (1, 2029.6800537109375)]","[(0, 3598.65478515625), (1, 2457.141845703125)]","[(0, 1731.646728515625), (1, 1633.307861328125)]","[(0, 2335.726318359375), (1, 2218.321044921875)]","[(0, 2106.80810546875), (1, 1901.4393310546875)]","[(0, 1304.8680419921875), (1, 1370.050537109375)]","[(0, 1433.6927490234375), (1, 1111.939208984375)]","[(0, 5543.65869140625), (1, 5786.18798828125)]","[(0, 1810.4217529296875), (1, 1918.2733154296875)]","[(0, 1379.2042236328125), (1, 1121.2978515625)]"
1,"[(0, 1860.0399169921875), (1, 1699.1597900390625)]","[(0, 1291.0909423828125), (1, 1128.8416748046875)]","[(0, 878.2168579101562), (1, 951.7696533203125)]","[(0, 758.3185424804688), (1, 573.5443115234375)]","[(0, 573.7366333007812), (1, 427.9217834472656)]","[(0, 332.3065490722656), (1, 152.68814086914062)]","[(0, 5140.03466796875), (1, 5081.658203125)]","[(0, 1138.0013427734375), (1, 1018.8746948242188)]","[(0, 1345.8499755859375), (1, 764.5092163085938)]","[(0, 11228.55859375), (1, 11031.970703125)]","[(0, 4807.0986328125), (1, 5755.77490234375)]","[(0, 2167.404052734375), (1, 843.03955078125)]","[(0, 5627.9736328125), (1, 5443.671875)]","[(0, 1667.3392333984375), (1, 2404.904541015625)]","[(0, 4145.97412109375), (1, 2875.621337890625)]","[(0, 1695.4075927734375), (1, 1675.9599609375)]","[(0, 1456.4381103515625), (1, 1466.6248779296875)]","[(0, 1690.2431640625), (1, 1587.3277587890625)]","[(0, 4567.29638671875), (1, 4002.860595703125)]","[(0, 958.6802368164062), (1, 1166.6153564453125)]","[(0, 1862.195556640625), (1, 2095.9453125)]","[(0, 1985.2518310546875), (1, 2048.768798828125)]","[(0, 4251.43505859375), (1, 3687.0556640625)]"
2,"[(0, 773.9412231445312), (1, 793.3695678710938)]","[(0, 1342.2366943359375), (1, 1134.1474609375)]","[(0, 927.7025756835938), (1, 1016.8551635742188)]","[(0, 939.9235229492188), (1, 735.9512939453125)]","[(0, 737.6126708984375), (1, 574.70263671875)]","[(0, 479.5623779296875), (1, 236.35284423828125)]","[(0, 1252.02490234375), (1, 1121.0615234375)]","[(0, 1069.197021484375), (1, 1231.440673828125)]","[(0, 2617.310791015625), (1, 1482.8287353515625)]","[(0, 7683.86865234375), (1, 9864.607421875)]","[(0, 4629.890625), (1, 4228.00048828125)]","[(0, 3211.80322265625), (1, 1361.2567138671875)]","[(0, 6304.6064453125), (1, 5806.88525390625)]","[(0, 1757.6268310546875), (1, 1459.3453369140625)]","[(0, 3180.72412109375), (1, 2369.72412109375)]","[(0, 1922.342529296875), (1, 1304.5401611328125)]","[(0, 4210.13134765625), (1, 4284.60009765625)]","[(0, 1176.2823486328125), (1, 1141.3167724609375)]","[(0, 1412.25634765625), (1, 1430.8126220703125)]","[(0, 3068.06640625), (1, 4396.67626953125)]","[(0, 3785.649169921875), (1, 3966.331298828125)]","[(0, 1898.835205078125), (1, 1675.8128662109375)]","[(0, 1478.191162109375), (1, 2059.798583984375)]"
3,"[(0, 1486.6162109375), (1, 1144.1900634765625)]","[(0, 1154.66845703125), (1, 943.5424194335938)]","[(0, 816.2969970703125), (1, 895.3583984375)]","[(0, 764.1691284179688), (1, 591.3585205078125)]","[(0, 2084.0966796875), (1, 1581.8670654296875)]","[(0, 3276.759521484375), (1, 1301.7080078125)]","[(0, 889.7196655273438), (1, 956.7914428710938)]","[(0, 2460.5712890625), (1, 1485.8516845703125)]","[(0, 4395.99755859375), (1, 1207.7825927734375)]","[(0, 8564.9150390625), (1, 9249.865234375)]","[(0, 5928.71630859375), (1, 4898.8583984375)]","[(0, 2574.365234375), (1, 1430.2593994140625)]","[(0, 4635.2626953125), (1, 4181.82861328125)]","[(0, 1428.2633056640625), (1, 1455.52099609375)]","[(0, 4455.474609375), (1, 3084.0986328125)]","[(0, 1173.8975830078125), (1, 1582.9415283203125)]","[(0, 2547.060546875), (1, 2716.2646484375)]","[(0, 1427.826171875), (1, 1412.0517578125)]","[(0, 1998.69873046875), (1, 1718.349609375)]","[(0, 2912.26953125), (1, 8366.0146484375)]","[(0, 2578.88427734375), (1, 2557.455078125)]","[(0, 1973.9171142578125), (1, 1757.79443359375)]","[(0, 1183.8426513671875), (1, 1815.1629638671875)]"
4,"[(0, 738.48828125), (1, 562.1852416992188)]","[(0, 1651.22802734375), (1, 1785.3011474609375)]","[(0, 1271.6739501953125), (1, 1212.8543701171875)]","[(0, 814.3169555664062), (1, 627.4414672851562)]","[(0, 2075.116455078125), (1, 1752.4725341796875)]","[(0, 659.7578125), (1, 370.86505126953125)]","[(0, 4308.34033203125), (1, 4472.56298828125)]","[(0, 1260.946533203125), (1, 1231.1025390625)]","[(0, 1889.6988525390625), (1, 817.7114868164062)]","[(0, 7225.2685546875), (1, 3860.68994140625)]","[(0, 2669.273681640625), (1, 2982.647216796875)]","[(0, 3214.410888671875), (1, 1065.3746337890625)]","[(0, 3037.42822265625), (1, 3184.10205078125)]","[(0, 965.953369140625), (1, 1393.526123046875)]","[(0, 2960.16015625), (1, 2423.501708984375)]","[(0, 1168.07763671875), (1, 1087.962158203125)]","[(0, 2863.8544921875), (1, 2948.359619140625)]","[(0, 1003.1895141601562), (1, 774.666015625)]","[(0, 1338.2724609375), (1, 1290.2176513671875)]","[(0, 4628.279296875), (1, 3542.30908203125)]","[(0, 1753.7373046875), (1, 1658.599365234375)]","[(0, 1696.9345703125), (1, 1278.6080322265625)]","[(0, 2030.467041015625), (1, 4089.7587890625)]"
5,"[(0, 1827.3245849609375), (1, 1638.2547607421875)]","[(0, 1491.4764404296875), (1, 1698.021728515625)]","[(0, 1181.5006103515625), (1, 1122.4195556640625)]","[(0, 1020.8374633789062), (1, 785.8621826171875)]","[(0, 2297.337890625), (1, 1777.4591064453125)]","[(0, 1377.760009765625), (1, 633.6235961914062)]","[(0, 2690.12939453125), (1, 2808.520263671875)]","[(0, 1657.957275390625), (1, 1174.01171875)]","[(0, 3273.470458984375), (1, 1372.48095703125)]","[(0, 8839.2216796875), (1, 7120.982421875)]","[(0, 4690.07666015625), (1, 5058.58935546875)]","[(0, 2341.797607421875), (1, 1199.15185546875)]","[(0, 3234.454345703125), (1, 3181.7041015625)]","[(0, 1557.483642578125), (1, 1901.7928466796875)]","[(0, 2649.377685546875), (1, 2351.280517578125)]","[(0, 1315.875), (1, 1154.4532470703125)]","[(0, 1766.8328857421875), (1, 1815.5836181640625)]","[(0, 1039.912353515625), (1, 893.16748046875)]","[(0, 4282.17333984375), (1, 4003.417724609375)]","[(0, 1739.007080078125), (1, 5732.783203125)]","[(0, 1010.4489135742188), (1, 958.434814453125)]","[(0, 1787.961669921875), (1, 1331.6871337890625)]","[(0, 679.9523315429688), (1, 636.1005249023438)]"
6,"[(0, 780.3751831054688), (1, 765.8204956054688)]","[(0, 1749.353271484375), (1, 1920.9075927734375)]","[(0, 1248.348388671875), (1, 1164.801025390625)]","[(0, 609.5800170898438), (1, 490.2008056640625)]","[(0, 771.5586547851562), (1, 853.4916381835938)]","[(0, 703.627197265625), (1, 367.8528137207031)]","[(0, 2712.11279296875), (1, 2867.12158203125)]","[(0, 2683.760498046875), (1, 1831.17822265625)]","[(0, 1946.587158203125), (1, 996.7823486328125)]","[(0, 10481.05078125), (1, 12116.619140625)]","[(0, 2585.04248046875), (1, 2520.481689453125)]","[(0, 4593.1943359375), (1, 2531.438720703125)]","[(0, 2367.955322265625), (1, 3487.24072265625)]","[(0, 3031.946533203125), (1, 4012.346435546875)]","[(0, 3729.22314453125), (1, 2316.706787109375)]","[(0, 4438.548828125), (1, 4040.7666015625)]","[(0, 2464.267578125), (1, 3009.353515625)]","[(0, 1347.5787353515625), (1, 1468.811279296875)]","[(0, 1682.2283935546875), (1, 1563.73974609375)]","[(0, 3650.921875), (1, 2350.69873046875)]","[(0, 2013.0074462890625), (1, 2327.418212890625)]","[(0, 2097.166015625), (1, 1574.0943603515625)]","[(0, 2004.152099609375), (1, 1841.4290771484375)]"
7,"[(0, 1853.03125), (1, 1486.376708984375)]","[(0, 1481.8157958984375), (1, 1728.28515625)]","[(0, 1128.048095703125), (1, 1051.8013916015625)]","[(0, 1496.0228271484375), (1, 1957.40380859375)]","[(0, 450.3887939453125), (1, 595.8934326171875)]","[(0, 527.2960815429688), (1, 268.6076354980469)]","[(0, 1706.976806640625), (1, 1732.6759033203125)]","[(0, 2828.93115234375), (1, 641.5277709960938)]","[(0, 3477.606201171875), (1, 1501.6268310546875)]","[(0, 5126.15625), (1, 6207.123046875)]","[(0, 4275.40380859375), (1, 4183.76318359375)]","[(0, 2460.135009765625), (1, 887.4816284179688)]","[(0, 2163.296630859375), (1, 2683.819091796875)]","[(0, 4862.26513671875), (1, 5085.11474609375)]","[(0, 3081.77587890625), (1, 1964.69384765625)]","[(0, 3811.11474609375), (1, 4356.89013671875)]","[(0, 1516.0599365234375), (1, 1821.0870361328125)]","[(0, 941.7197265625), (1, 1447.2176513671875)]","[(0, 1316.298583984375), (1, 1054.7440185546875)]","[(0, 3837.52734375), (1, 4590.90869140625)]","[(0, 1190.2784423828125), (1, 1402.332275390625)]","[(0, 1719.68408203125), (1, 1340.504638671875)]","[(0, 2316.007568359375), (1, 4846.18798828125)]"
8,"[(0, 611.9107055664062), (1, 730.4340209960938)]","[(0, 1788.9312744140625), (1, 1832.3836669921875)]","[(0, 1291.4228515625), (1, 1194.271728515625)]","[(0, 665.5042114257812), (1, 867.58349609375)]","[(0, 537.1302490234375), (1, 671.1900024414062)]","[(0, 488.31463623046875), (1, 235.80520629882812)]","[(0, 1948.9136962890625), (1, 1908.8740234375)]","[(0, 2200.345458984375), (1, 1441.52392578125)]","[(0, 1752.7698974609375), (1, 796.2472534179688)]","[(0, 1914.4744873046875), (1, 2733.636962890625)]","[(0, 1285.3475341796875), (1, 1550.699951171875)]","[(0, 2178.129150390625), (1, 1115.1903076171875)]","[(0, 8273.5009765625), (1, 8243.626953125)]","[(0, 972.0849609375), (1, 1327.938232421875)]","[(0, 3664.613525390625), (1, 2803.808837890625)]","[(0, 5574.83251953125), (1, 4858.25146484375)]","[(0, 1817.5343017578125), (1, 2339.87548828125)]","[(0, 718.1340942382812), (1, 887.3369140625)]","[(0, 1758.3057861328125), (1, 1698.26708984375)]","[(0, 1560.7020263671875), (1, 1738.3902587890625)]","[(0, 2479.735107421875), (1, 2383.90478515625)]","[(0, 1273.46044921875), (1, 1065.51025390625)]","[(0, 1059.47509765625), (1, 1510.7393798828125)]"
9,"[(0, 2746.68359375), (1, 2792.925537109375)]","[(0, 1639.506591796875), (1, 1606.5916748046875)]","[(0, 1607.945068359375), (1, 1512.421630859375)]","[(0, 853.7635498046875), (1, 1072.6910400390625)]","[(0, 1386.219970703125), (1, 1813.41455078125)]","[(0, 690.446044921875), (1, 345.2574462890625)]","[(0, 1899.8043212890625), (1, 1975.3314208984375)]","[(0, 3111.561767578125), (1, 1674.1156005859375)]","[(0, 1806.8194580078125), (1, 1160.800537109375)]","[(0, 2804.8115234375), (1, 3517.72021484375)]","[(0, 1380.9361572265625), (1, 1613.3543701171875)]","[(0, 2078.201904296875), (1, 951.4370727539062)]","[(0, 8229.966796875), (1, 8042.39453125)]","[(0, 1310.37060546875), (1, 1575.543701171875)]","[(0, 3943.520263671875), (1, 3079.448974609375)]","[(0, 4341.30322265625), (1, 4303.93798828125)]","[(0, 1096.5379638671875), (1, 1388.589111328125)]","[(0, 1046.1292724609375), (1, 1260.93212890625)]","[(0, 2715.574462890625), (1, 1537.0506591796875)]","[(0, 1646.1243896484375), (1, 1628.2666015625)]","[(0, 1140.7215576171875), (1, 1112.4052734375)]","[(0, 1394.551025390625), (1, 1218.4232177734375)]","[(0, 2567.795166015625), (1, 2258.79150390625)]"
