,checkpoint-36000
agreement_determiner_noun-across_1_adjective,0.805
agreement_determiner_noun-between_neighbors,0.8325
agreement_subject_verb-across_prepositional_phrase,0.5875
agreement_subject_verb-across_relative_clause,0.623
agreement_subject_verb-in_question_with_aux,0.6965
agreement_subject_verb-in_simple_question,0.643
anaphor_agreement-pronoun_gender,0.8395
argument_structure-dropped_argument,0.8725
argument_structure-swapped_arguments,0.9705
argument_structure-transitive,0.622
binding-principle_a,0.8685
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.4975
filler-gap-wh_question_object,0.9085
filler-gap-wh_question_subject,0.9775
irregular-verb,0.931
island-effects-adjunct_island,0.537
island-effects-coordinate_structure_constraint,0.836
local_attractor-in_question_with_aux,0.8875
npi_licensing-matrix_question,0.748
npi_licensing-only_npi_licensor,0.3565
quantifiers-existential_there,0.8955
quantifiers-superlative,0.825
