,best
agreement_determiner_noun-across_1_adjective,0.499
agreement_determiner_noun-between_neighbors,0.511
agreement_subject_verb-across_prepositional_phrase,0.505
agreement_subject_verb-across_relative_clause,0.513
agreement_subject_verb-in_question_with_aux,0.5075
agreement_subject_verb-in_simple_question,0.49
anaphor_agreement-pronoun_gender,0.5615
argument_structure-dropped_argument,0.382
argument_structure-swapped_arguments,0.863
argument_structure-transitive,0.4425
binding-principle_a,0.5455
case-subjective_pronoun,0.8005
ellipsis-n_bar,0.4355
filler-gap-wh_question_object,0.173
filler-gap-wh_question_subject,0.9125
irregular-verb,0.4595
island-effects-adjunct_island,0.4745
island-effects-coordinate_structure_constraint,0.132
local_attractor-in_question_with_aux,0.521
npi_licensing-matrix_question,0.5345
npi_licensing-only_npi_licensor,0.9975
quantifiers-existential_there,0.66
quantifiers-superlative,0.835
