,checkpoint-16000
agreement_determiner_noun-across_1_adjective,0.6875
agreement_determiner_noun-between_neighbors,0.7865
agreement_subject_verb-across_prepositional_phrase,0.5735
agreement_subject_verb-across_relative_clause,0.5785
agreement_subject_verb-in_question_with_aux,0.6135
agreement_subject_verb-in_simple_question,0.6505
anaphor_agreement-pronoun_gender,0.528
argument_structure-dropped_argument,0.925
argument_structure-swapped_arguments,0.9945
argument_structure-transitive,0.7505
binding-principle_a,0.7255
case-subjective_pronoun,1.0
ellipsis-n_bar,0.319
filler-gap-wh_question_object,0.9585
filler-gap-wh_question_subject,0.998
irregular-verb,0.882
island-effects-adjunct_island,0.493
island-effects-coordinate_structure_constraint,0.686
local_attractor-in_question_with_aux,0.8935
npi_licensing-matrix_question,0.3225
npi_licensing-only_npi_licensor,0.924
quantifiers-existential_there,0.942
quantifiers-superlative,0.9515
