,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1403.9212646484375), (1, 1478.2764892578125)]","[(0, 2392.878662109375), (1, 2135.842529296875)]","[(0, 2070.98046875), (1, 1908.2841796875)]","[(0, 2285.0947265625), (1, 2304.91650390625)]","[(0, 1876.6773681640625), (1, 2392.802490234375)]","[(0, 924.0765991210938), (1, 617.2539672851562)]","[(0, 4747.6337890625), (1, 4470.810546875)]","[(0, 3615.5244140625), (1, 1675.266357421875)]","[(0, 3756.250244140625), (1, 2188.673583984375)]","[(0, 10473.3974609375), (1, 7262.2138671875)]","[(0, 3153.315185546875), (1, 3724.1123046875)]","[(0, 4500.78564453125), (1, 1936.052978515625)]","[(0, 5806.45849609375), (1, 6861.14501953125)]","[(0, 2200.27197265625), (1, 2206.27197265625)]","[(0, 3235.765380859375), (1, 2415.36376953125)]","[(0, 3561.30126953125), (1, 2932.613525390625)]","[(0, 4082.5380859375), (1, 4808.67138671875)]","[(0, 4014.64697265625), (1, 3356.897705078125)]","[(0, 3557.285400390625), (1, 3216.106689453125)]","[(0, 2396.50537109375), (1, 1759.69384765625)]","[(0, 5731.07763671875), (1, 5302.5595703125)]","[(0, 2747.900390625), (1, 2924.91845703125)]","[(0, 4189.1328125), (1, 4680.38037109375)]"
1,"[(0, 1961.9405517578125), (1, 2157.85986328125)]","[(0, 1863.882568359375), (1, 1618.9638671875)]","[(0, 2284.4814453125), (1, 2140.056884765625)]","[(0, 1406.379638671875), (1, 1369.2222900390625)]","[(0, 1615.2509765625), (1, 1718.3209228515625)]","[(0, 907.4304809570312), (1, 593.4805908203125)]","[(0, 2876.016357421875), (1, 2757.496826171875)]","[(0, 2003.685546875), (1, 1665.001220703125)]","[(0, 2118.16845703125), (1, 1196.9837646484375)]","[(0, 3974.0703125), (1, 3789.2685546875)]","[(0, 5228.87109375), (1, 6117.4501953125)]","[(0, 3923.054443359375), (1, 1962.15283203125)]","[(0, 6528.81298828125), (1, 6872.61865234375)]","[(0, 2324.48681640625), (1, 2810.57666015625)]","[(0, 4608.68359375), (1, 3345.290283203125)]","[(0, 2678.076904296875), (1, 3408.509521484375)]","[(0, 2769.862060546875), (1, 3471.350341796875)]","[(0, 3201.552490234375), (1, 2667.3662109375)]","[(0, 2894.215576171875), (1, 2788.97314453125)]","[(0, 2743.43603515625), (1, 1646.7642822265625)]","[(0, 3194.595703125), (1, 2790.615966796875)]","[(0, 2383.8251953125), (1, 2426.42724609375)]","[(0, 4259.2431640625), (1, 4668.896484375)]"
2,"[(0, 1992.1962890625), (1, 2124.067138671875)]","[(0, 2279.27490234375), (1, 1860.7486572265625)]","[(0, 1944.0799560546875), (1, 1790.9532470703125)]","[(0, 1482.8350830078125), (1, 1528.9833984375)]","[(0, 1947.1636962890625), (1, 2007.7216796875)]","[(0, 1235.2982177734375), (1, 894.3296508789062)]","[(0, 3288.18212890625), (1, 3581.419921875)]","[(0, 3384.59130859375), (1, 2426.11376953125)]","[(0, 3577.265625), (1, 1836.7154541015625)]","[(0, 5821.83984375), (1, 14301.8720703125)]","[(0, 3700.9326171875), (1, 3165.907470703125)]","[(0, 4605.41455078125), (1, 3048.36279296875)]","[(0, 5922.78759765625), (1, 6499.20556640625)]","[(0, 2084.3291015625), (1, 1914.8095703125)]","[(0, 4291.8671875), (1, 3085.82861328125)]","[(0, 3267.507080078125), (1, 3002.69970703125)]","[(0, 4228.2626953125), (1, 4229.0087890625)]","[(0, 2259.049072265625), (1, 2083.43505859375)]","[(0, 3797.397216796875), (1, 3407.67724609375)]","[(0, 6934.7958984375), (1, 3816.6142578125)]","[(0, 4410.62353515625), (1, 3715.481201171875)]","[(0, 3073.1298828125), (1, 3205.655517578125)]","[(0, 2896.345947265625), (1, 3455.390625)]"
3,"[(0, 1644.73095703125), (1, 1780.30078125)]","[(0, 1729.856689453125), (1, 1341.465087890625)]","[(0, 2105.48046875), (1, 1964.0494384765625)]","[(0, 2028.986328125), (1, 2078.431884765625)]","[(0, 3452.02783203125), (1, 3197.0947265625)]","[(0, 2514.152099609375), (1, 1755.0213623046875)]","[(0, 2698.91015625), (1, 2683.81787109375)]","[(0, 4048.102783203125), (1, 2198.65283203125)]","[(0, 3521.811767578125), (1, 2041.8238525390625)]","[(0, 5224.130859375), (1, 3895.001708984375)]","[(0, 5908.8642578125), (1, 4910.7958984375)]","[(0, 5107.841796875), (1, 2277.26513671875)]","[(0, 4525.04248046875), (1, 4856.2177734375)]","[(0, 1710.30419921875), (1, 1874.716796875)]","[(0, 5377.18359375), (1, 3675.197021484375)]","[(0, 2869.004638671875), (1, 2788.51416015625)]","[(0, 3081.267578125), (1, 3246.887451171875)]","[(0, 2007.8470458984375), (1, 2249.28271484375)]","[(0, 1824.48095703125), (1, 1399.1864013671875)]","[(0, 3236.79638671875), (1, 7238.814453125)]","[(0, 3648.384521484375), (1, 2983.3896484375)]","[(0, 3425.330322265625), (1, 3486.8583984375)]","[(0, 3055.129150390625), (1, 3525.595947265625)]"
4,"[(0, 1423.6844482421875), (1, 1517.900146484375)]","[(0, 2581.794189453125), (1, 3113.2744140625)]","[(0, 1874.2645263671875), (1, 2068.69775390625)]","[(0, 2154.604736328125), (1, 2229.985107421875)]","[(0, 2333.90283203125), (1, 2254.466796875)]","[(0, 1496.481689453125), (1, 1200.45849609375)]","[(0, 4940.81787109375), (1, 4820.8349609375)]","[(0, 2433.222412109375), (1, 1857.658935546875)]","[(0, 2812.516357421875), (1, 1133.7523193359375)]","[(0, 3392.288818359375), (1, 2234.730712890625)]","[(0, 3761.28271484375), (1, 4190.3037109375)]","[(0, 3365.79345703125), (1, 1442.5704345703125)]","[(0, 5228.2880859375), (1, 5996.13671875)]","[(0, 2198.845458984375), (1, 3354.455810546875)]","[(0, 3572.032958984375), (1, 2763.44921875)]","[(0, 3972.615234375), (1, 2959.340087890625)]","[(0, 3649.3798828125), (1, 3176.03515625)]","[(0, 1178.4302978515625), (1, 1155.032958984375)]","[(0, 3817.993896484375), (1, 3329.91357421875)]","[(0, 3540.46484375), (1, 3498.3095703125)]","[(0, 3646.06787109375), (1, 2724.338134765625)]","[(0, 4203.68017578125), (1, 3603.263427734375)]","[(0, 2944.75146484375), (1, 4327.17919921875)]"
5,"[(0, 1630.009033203125), (1, 1726.6253662109375)]","[(0, 1936.1165771484375), (1, 2424.990478515625)]","[(0, 2122.307373046875), (1, 2315.387939453125)]","[(0, 1825.213623046875), (1, 1910.7373046875)]","[(0, 1946.7393798828125), (1, 1794.625)]","[(0, 1904.0877685546875), (1, 1266.2813720703125)]","[(0, 2307.651611328125), (1, 2331.234619140625)]","[(0, 2231.149658203125), (1, 1817.2803955078125)]","[(0, 4529.81787109375), (1, 3434.390869140625)]","[(0, 7788.26123046875), (1, 4905.93701171875)]","[(0, 3457.622314453125), (1, 3448.072998046875)]","[(0, 3993.137939453125), (1, 2056.61865234375)]","[(0, 3320.602783203125), (1, 3886.667724609375)]","[(0, 3323.717041015625), (1, 3159.338134765625)]","[(0, 3978.97021484375), (1, 3080.459716796875)]","[(0, 2888.48193359375), (1, 3562.500244140625)]","[(0, 2650.946044921875), (1, 2399.664794921875)]","[(0, 1284.2833251953125), (1, 1276.0369873046875)]","[(0, 2963.816650390625), (1, 2226.154052734375)]","[(0, 4602.89892578125), (1, 4599.8974609375)]","[(0, 2660.753173828125), (1, 1938.3509521484375)]","[(0, 3839.980224609375), (1, 3379.968994140625)]","[(0, 2067.9658203125), (1, 2547.10400390625)]"
6,"[(0, 1788.910888671875), (1, 1830.6229248046875)]","[(0, 2931.988525390625), (1, 3499.68115234375)]","[(0, 2055.652099609375), (1, 2248.800048828125)]","[(0, 1592.600830078125), (1, 1616.544677734375)]","[(0, 1094.95849609375), (1, 966.2173461914062)]","[(0, 2031.7222900390625), (1, 1499.2464599609375)]","[(0, 3414.577392578125), (1, 3339.0654296875)]","[(0, 3939.4267578125), (1, 1868.9517822265625)]","[(0, 2811.9345703125), (1, 1390.5550537109375)]","[(0, 4361.51708984375), (1, 6226.77734375)]","[(0, 3970.57373046875), (1, 3515.05419921875)]","[(0, 4166.7763671875), (1, 2543.061767578125)]","[(0, 5550.34521484375), (1, 4919.4208984375)]","[(0, 2908.634765625), (1, 3265.413818359375)]","[(0, 3982.43994140625), (1, 2863.02978515625)]","[(0, 7618.4326171875), (1, 7970.75)]","[(0, 3743.197509765625), (1, 3241.525634765625)]","[(0, 2323.287841796875), (1, 1862.7115478515625)]","[(0, 1917.8013916015625), (1, 1430.3175048828125)]","[(0, 3443.51806640625), (1, 3118.257568359375)]","[(0, 3423.867431640625), (1, 2736.400634765625)]","[(0, 2689.0673828125), (1, 2118.000732421875)]","[(0, 2842.30517578125), (1, 3201.131103515625)]"
7,"[(0, 1686.1610107421875), (1, 1872.9727783203125)]","[(0, 2139.176513671875), (1, 2767.3076171875)]","[(0, 2325.782958984375), (1, 2525.557373046875)]","[(0, 2287.496337890625), (1, 2247.403076171875)]","[(0, 848.8687744140625), (1, 897.587646484375)]","[(0, 837.6524047851562), (1, 536.828125)]","[(0, 2521.02490234375), (1, 2391.666259765625)]","[(0, 3213.3291015625), (1, 1090.82958984375)]","[(0, 3190.44287109375), (1, 1547.6387939453125)]","[(0, 2836.054443359375), (1, 4649.52783203125)]","[(0, 3584.105712890625), (1, 3338.890380859375)]","[(0, 4100.009765625), (1, 1791.4075927734375)]","[(0, 5057.9716796875), (1, 4669.36376953125)]","[(0, 3550.62548828125), (1, 4582.77197265625)]","[(0, 4698.34033203125), (1, 3234.352294921875)]","[(0, 6739.509765625), (1, 7060.6025390625)]","[(0, 2548.097900390625), (1, 2256.27783203125)]","[(0, 2075.007568359375), (1, 1793.0758056640625)]","[(0, 1261.6375732421875), (1, 1018.01708984375)]","[(0, 3910.74609375), (1, 4402.298828125)]","[(0, 4408.5751953125), (1, 3048.978759765625)]","[(0, 1939.368896484375), (1, 1645.79248046875)]","[(0, 3977.9267578125), (1, 5708.1298828125)]"
8,"[(0, 1998.693115234375), (1, 1852.9666748046875)]","[(0, 3354.091064453125), (1, 3010.162841796875)]","[(0, 2630.037841796875), (1, 2952.951904296875)]","[(0, 1394.4486083984375), (1, 1415.39599609375)]","[(0, 1134.6651611328125), (1, 1191.0562744140625)]","[(0, 861.561279296875), (1, 539.1327514648438)]","[(0, 1741.2640380859375), (1, 1762.402099609375)]","[(0, 2721.128662109375), (1, 2154.862548828125)]","[(0, 2826.151123046875), (1, 1164.5711669921875)]","[(0, 1905.7562255859375), (1, 1925.0770263671875)]","[(0, 2652.8125), (1, 3295.654052734375)]","[(0, 2226.681640625), (1, 1850.366455078125)]","[(0, 8544.5029296875), (1, 8722.322265625)]","[(0, 1845.74365234375), (1, 2145.658447265625)]","[(0, 3192.27197265625), (1, 2327.09521484375)]","[(0, 6045.57470703125), (1, 5175.82470703125)]","[(0, 2719.85205078125), (1, 3120.5068359375)]","[(0, 1373.3837890625), (1, 1245.4630126953125)]","[(0, 3579.86279296875), (1, 3295.14501953125)]","[(0, 2770.06005859375), (1, 2049.077392578125)]","[(0, 3710.531005859375), (1, 2712.063720703125)]","[(0, 2034.489990234375), (1, 2422.474609375)]","[(0, 2653.52978515625), (1, 3095.897705078125)]"
9,"[(0, 2939.055908203125), (1, 2728.442138671875)]","[(0, 2849.582763671875), (1, 2165.772705078125)]","[(0, 2982.726806640625), (1, 3265.753173828125)]","[(0, 1574.36083984375), (1, 1508.5654296875)]","[(0, 1954.0130615234375), (1, 2209.72021484375)]","[(0, 1175.315185546875), (1, 810.7675170898438)]","[(0, 1937.66455078125), (1, 1912.0223388671875)]","[(0, 4752.79833984375), (1, 1755.4615478515625)]","[(0, 2643.180908203125), (1, 1608.346923828125)]","[(0, 1986.0301513671875), (1, 2778.372802734375)]","[(0, 2248.30908203125), (1, 2694.6845703125)]","[(0, 3938.198486328125), (1, 2881.287353515625)]","[(0, 8639.90625), (1, 8754.623046875)]","[(0, 2022.736328125), (1, 2137.385009765625)]","[(0, 4186.06591796875), (1, 3052.1064453125)]","[(0, 3952.80517578125), (1, 4662.8671875)]","[(0, 2058.688232421875), (1, 2399.258544921875)]","[(0, 1561.1947021484375), (1, 1562.4361572265625)]","[(0, 2586.3876953125), (1, 1803.666259765625)]","[(0, 3970.581298828125), (1, 3069.0498046875)]","[(0, 2719.623779296875), (1, 2067.28955078125)]","[(0, 1672.2830810546875), (1, 1913.5107421875)]","[(0, 3996.10546875), (1, 5042.77099609375)]"
