,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 870.1646728515625), (1, 802.7838745117188)]","[(0, 1527.028564453125), (1, 1310.3701171875)]","[(0, 996.7718505859375), (1, 889.6725463867188)]","[(0, 1036.1051025390625), (1, 941.3174438476562)]","[(0, 609.680908203125), (1, 530.3173217773438)]","[(0, 386.13360595703125), (1, 204.73780822753906)]","[(0, 3476.15087890625), (1, 3356.8818359375)]","[(0, 2517.6025390625), (1, 1125.5233154296875)]","[(0, 2764.20556640625), (1, 1684.45654296875)]","[(0, 11010.119140625), (1, 8199.2421875)]","[(0, 2609.7509765625), (1, 3507.379150390625)]","[(0, 3293.687255859375), (1, 1530.4984130859375)]","[(0, 4929.83251953125), (1, 4861.8017578125)]","[(0, 1452.7626953125), (1, 1345.2294921875)]","[(0, 2738.699462890625), (1, 1917.0076904296875)]","[(0, 1819.3406982421875), (1, 1655.9637451171875)]","[(0, 1393.72216796875), (1, 1425.880859375)]","[(0, 1185.1824951171875), (1, 1255.0787353515625)]","[(0, 899.2657470703125), (1, 704.10009765625)]","[(0, 1356.619140625), (1, 996.3370971679688)]","[(0, 5515.77734375), (1, 5756.07177734375)]","[(0, 1868.619384765625), (1, 1712.796630859375)]","[(0, 1646.978515625), (1, 1505.0196533203125)]"
1,"[(0, 1425.633544921875), (1, 1429.2518310546875)]","[(0, 1200.1168212890625), (1, 1042.913330078125)]","[(0, 1007.3314819335938), (1, 892.2386474609375)]","[(0, 503.2984313964844), (1, 454.86248779296875)]","[(0, 591.33056640625), (1, 468.29339599609375)]","[(0, 319.0836486816406), (1, 161.99522399902344)]","[(0, 1797.0362548828125), (1, 1702.1998291015625)]","[(0, 954.762939453125), (1, 776.560302734375)]","[(0, 1258.6895751953125), (1, 836.3349609375)]","[(0, 3509.052001953125), (1, 3278.066162109375)]","[(0, 4780.4912109375), (1, 6349.78369140625)]","[(0, 2595.462158203125), (1, 1223.6341552734375)]","[(0, 5521.60400390625), (1, 5386.021484375)]","[(0, 1382.39013671875), (1, 1452.3360595703125)]","[(0, 3641.085205078125), (1, 2381.2685546875)]","[(0, 1497.56884765625), (1, 1610.6578369140625)]","[(0, 1156.2645263671875), (1, 1178.520263671875)]","[(0, 1007.0980834960938), (1, 1244.8033447265625)]","[(0, 2299.712890625), (1, 1892.87060546875)]","[(0, 917.20068359375), (1, 1053.1634521484375)]","[(0, 2255.930419921875), (1, 2336.416015625)]","[(0, 1611.8970947265625), (1, 1517.2510986328125)]","[(0, 3627.125), (1, 3258.119140625)]"
2,"[(0, 1229.9085693359375), (1, 1243.93701171875)]","[(0, 1281.45654296875), (1, 1115.539794921875)]","[(0, 1029.3150634765625), (1, 912.091796875)]","[(0, 616.7561645507812), (1, 574.9189453125)]","[(0, 740.57763671875), (1, 628.5074462890625)]","[(0, 541.0010375976562), (1, 315.96063232421875)]","[(0, 1387.3480224609375), (1, 1325.966796875)]","[(0, 1344.30810546875), (1, 1145.626953125)]","[(0, 2596.82373046875), (1, 1449.3487548828125)]","[(0, 5419.3681640625), (1, 9420.203125)]","[(0, 3115.52587890625), (1, 2522.543701171875)]","[(0, 1782.016357421875), (1, 1330.754638671875)]","[(0, 4791.67431640625), (1, 4468.24853515625)]","[(0, 1478.0333251953125), (1, 1222.2275390625)]","[(0, 2257.72119140625), (1, 1730.3177490234375)]","[(0, 2704.81982421875), (1, 2374.5947265625)]","[(0, 2307.820068359375), (1, 2479.934814453125)]","[(0, 847.99853515625), (1, 944.327880859375)]","[(0, 1422.8720703125), (1, 1257.6181640625)]","[(0, 2466.01220703125), (1, 2152.29736328125)]","[(0, 2979.92919921875), (1, 2906.5537109375)]","[(0, 2000.8489990234375), (1, 1759.8408203125)]","[(0, 1635.479248046875), (1, 2288.77197265625)]"
3,"[(0, 1575.9630126953125), (1, 1481.9351806640625)]","[(0, 996.3560180664062), (1, 875.3350219726562)]","[(0, 1014.5032958984375), (1, 891.054931640625)]","[(0, 955.2428588867188), (1, 879.9300537109375)]","[(0, 2036.3709716796875), (1, 1644.31689453125)]","[(0, 1023.9341430664062), (1, 585.6755981445312)]","[(0, 1199.3817138671875), (1, 1247.126953125)]","[(0, 3170.0224609375), (1, 1814.74072265625)]","[(0, 2174.660888671875), (1, 1473.3702392578125)]","[(0, 3657.239990234375), (1, 3114.8662109375)]","[(0, 5685.91943359375), (1, 4567.06982421875)]","[(0, 1869.5186767578125), (1, 1301.2996826171875)]","[(0, 3825.24658203125), (1, 3697.77490234375)]","[(0, 1451.9642333984375), (1, 1407.9886474609375)]","[(0, 2947.60595703125), (1, 2141.531982421875)]","[(0, 1940.6103515625), (1, 2136.4365234375)]","[(0, 1723.673095703125), (1, 1809.4732666015625)]","[(0, 1046.3333740234375), (1, 1205.643310546875)]","[(0, 1124.7325439453125), (1, 772.5692749023438)]","[(0, 2668.361083984375), (1, 5116.41748046875)]","[(0, 2642.34423828125), (1, 2586.38037109375)]","[(0, 2106.490478515625), (1, 1841.6240234375)]","[(0, 1379.3580322265625), (1, 1971.4544677734375)]"
4,"[(0, 800.5609741210938), (1, 735.3720703125)]","[(0, 1862.527587890625), (1, 2136.5341796875)]","[(0, 974.0675659179688), (1, 1102.1143798828125)]","[(0, 950.0973510742188), (1, 866.8515625)]","[(0, 1677.093505859375), (1, 1395.935546875)]","[(0, 458.4363708496094), (1, 323.58392333984375)]","[(0, 3263.78515625), (1, 3199.837158203125)]","[(0, 1144.04931640625), (1, 1024.688232421875)]","[(0, 2217.2119140625), (1, 1052.8902587890625)]","[(0, 2649.9970703125), (1, 1727.52294921875)]","[(0, 2714.948974609375), (1, 2610.044677734375)]","[(0, 2791.723388671875), (1, 1274.4815673828125)]","[(0, 3053.57958984375), (1, 3349.833251953125)]","[(0, 1412.352783203125), (1, 1745.7467041015625)]","[(0, 2962.408203125), (1, 2179.551513671875)]","[(0, 1988.3251953125), (1, 1695.6800537109375)]","[(0, 1868.3717041015625), (1, 1787.5328369140625)]","[(0, 765.3116455078125), (1, 765.4357299804688)]","[(0, 1387.7510986328125), (1, 1180.63671875)]","[(0, 2478.419189453125), (1, 1914.835205078125)]","[(0, 1921.08984375), (1, 1792.4158935546875)]","[(0, 2599.737548828125), (1, 2020.473876953125)]","[(0, 2316.52978515625), (1, 4003.81884765625)]"
5,"[(0, 1163.7657470703125), (1, 1128.37353515625)]","[(0, 1589.1832275390625), (1, 1826.9456787109375)]","[(0, 1008.7720947265625), (1, 1147.22265625)]","[(0, 825.4242553710938), (1, 762.1749267578125)]","[(0, 1454.08154296875), (1, 1154.7906494140625)]","[(0, 488.45318603515625), (1, 304.59027099609375)]","[(0, 1349.089599609375), (1, 1340.5479736328125)]","[(0, 1356.6605224609375), (1, 1048.3125)]","[(0, 2933.431640625), (1, 1553.9599609375)]","[(0, 4966.1337890625), (1, 3574.81689453125)]","[(0, 2740.9462890625), (1, 2461.034912109375)]","[(0, 2049.30517578125), (1, 1383.647216796875)]","[(0, 2346.20947265625), (1, 2445.736572265625)]","[(0, 2516.713134765625), (1, 2385.314453125)]","[(0, 2987.250244140625), (1, 2180.41845703125)]","[(0, 1437.1944580078125), (1, 1595.9852294921875)]","[(0, 1484.282470703125), (1, 1401.355712890625)]","[(0, 901.4861450195312), (1, 938.8645629882812)]","[(0, 2286.27392578125), (1, 1680.3714599609375)]","[(0, 2089.612548828125), (1, 3333.736083984375)]","[(0, 1287.3802490234375), (1, 1202.2239990234375)]","[(0, 2034.275634765625), (1, 1581.1845703125)]","[(0, 896.6029052734375), (1, 858.1094360351562)]"
6,"[(0, 1011.9156494140625), (1, 991.8192138671875)]","[(0, 1674.27783203125), (1, 1960.1947021484375)]","[(0, 1092.891357421875), (1, 1242.8609619140625)]","[(0, 602.656982421875), (1, 555.5272827148438)]","[(0, 435.7648010253906), (1, 489.43731689453125)]","[(0, 577.2970581054688), (1, 378.0342102050781)]","[(0, 2655.30419921875), (1, 2691.107177734375)]","[(0, 2756.786865234375), (1, 1463.0360107421875)]","[(0, 2640.529052734375), (1, 1102.78564453125)]","[(0, 3045.439453125), (1, 6102.92333984375)]","[(0, 2647.39013671875), (1, 2471.470703125)]","[(0, 2667.6806640625), (1, 2089.67431640625)]","[(0, 2775.51513671875), (1, 2782.2255859375)]","[(0, 2337.5224609375), (1, 2367.156005859375)]","[(0, 2621.722412109375), (1, 1844.328857421875)]","[(0, 4802.7685546875), (1, 4851.3896484375)]","[(0, 1672.97705078125), (1, 1530.0401611328125)]","[(0, 1074.645263671875), (1, 1157.4947509765625)]","[(0, 816.8919067382812), (1, 577.0386352539062)]","[(0, 2459.16015625), (1, 2068.1611328125)]","[(0, 1705.8570556640625), (1, 1826.5780029296875)]","[(0, 2026.5555419921875), (1, 1514.7830810546875)]","[(0, 1848.366455078125), (1, 1682.4320068359375)]"
7,"[(0, 1454.91796875), (1, 1374.7911376953125)]","[(0, 1351.9888916015625), (1, 1585.0125732421875)]","[(0, 1132.0565185546875), (1, 1291.692626953125)]","[(0, 1045.7667236328125), (1, 1145.6204833984375)]","[(0, 392.7445068359375), (1, 485.0973205566406)]","[(0, 428.9481506347656), (1, 228.569091796875)]","[(0, 1428.66455078125), (1, 1405.3238525390625)]","[(0, 1845.7620849609375), (1, 557.3665161132812)]","[(0, 1849.3397216796875), (1, 1156.987060546875)]","[(0, 3298.741943359375), (1, 4133.5224609375)]","[(0, 2623.17431640625), (1, 2523.794921875)]","[(0, 2888.743408203125), (1, 1258.93212890625)]","[(0, 2560.093994140625), (1, 2452.14404296875)]","[(0, 3218.288330078125), (1, 2920.376708984375)]","[(0, 2430.3271484375), (1, 1651.34375)]","[(0, 4039.25244140625), (1, 4453.8134765625)]","[(0, 1380.8453369140625), (1, 1235.8072509765625)]","[(0, 929.2685546875), (1, 1266.156982421875)]","[(0, 914.927490234375), (1, 579.7546997070312)]","[(0, 3095.80322265625), (1, 3205.233642578125)]","[(0, 1463.362548828125), (1, 1506.39306640625)]","[(0, 1487.1778564453125), (1, 1140.2838134765625)]","[(0, 2551.115478515625), (1, 4444.8349609375)]"
8,"[(0, 1143.927734375), (1, 1217.9329833984375)]","[(0, 1985.8094482421875), (1, 1891.256591796875)]","[(0, 1222.5675048828125), (1, 1188.2935791015625)]","[(0, 496.78460693359375), (1, 547.999755859375)]","[(0, 527.27392578125), (1, 616.0064086914062)]","[(0, 378.7604675292969), (1, 192.32484436035156)]","[(0, 1000.1808471679688), (1, 979.2952880859375)]","[(0, 1426.10400390625), (1, 1048.7899169921875)]","[(0, 1992.872802734375), (1, 925.2384033203125)]","[(0, 928.1238403320312), (1, 1095.4180908203125)]","[(0, 1300.4776611328125), (1, 1757.0635986328125)]","[(0, 1575.104248046875), (1, 1303.9288330078125)]","[(0, 7966.55517578125), (1, 8059.1787109375)]","[(0, 1401.468017578125), (1, 1571.292724609375)]","[(0, 2826.971923828125), (1, 2171.960205078125)]","[(0, 4575.98095703125), (1, 4274.9921875)]","[(0, 1537.9737548828125), (1, 1447.2838134765625)]","[(0, 754.2838134765625), (1, 856.464111328125)]","[(0, 1009.3461303710938), (1, 959.1741333007812)]","[(0, 1579.6201171875), (1, 1439.0439453125)]","[(0, 2195.44482421875), (1, 2119.57177734375)]","[(0, 1349.3868408203125), (1, 1399.1904296875)]","[(0, 1171.709716796875), (1, 1660.531005859375)]"
9,"[(0, 2317.541748046875), (1, 2286.46044921875)]","[(0, 1541.0914306640625), (1, 1348.8277587890625)]","[(0, 1616.122314453125), (1, 1555.425537109375)]","[(0, 635.0819091796875), (1, 677.1948852539062)]","[(0, 1314.709716796875), (1, 1606.4017333984375)]","[(0, 641.4002075195312), (1, 380.6278076171875)]","[(0, 1077.9000244140625), (1, 1108.20947265625)]","[(0, 3409.34814453125), (1, 1252.0283203125)]","[(0, 1605.6641845703125), (1, 975.5601196289062)]","[(0, 2109.321044921875), (1, 2660.325439453125)]","[(0, 1509.7025146484375), (1, 1939.358642578125)]","[(0, 1971.7825927734375), (1, 1321.4246826171875)]","[(0, 8475.623046875), (1, 8551.29296875)]","[(0, 1886.8804931640625), (1, 1808.9029541015625)]","[(0, 3228.429443359375), (1, 2422.612060546875)]","[(0, 3351.54296875), (1, 3537.38330078125)]","[(0, 1228.27099609375), (1, 1136.32958984375)]","[(0, 998.6843872070312), (1, 1223.5833740234375)]","[(0, 1561.046630859375), (1, 1066.97705078125)]","[(0, 1909.1234130859375), (1, 2228.55322265625)]","[(0, 1359.0009765625), (1, 1280.65087890625)]","[(0, 1158.279296875), (1, 1176.640869140625)]","[(0, 2345.7998046875), (1, 2118.632080078125)]"
