,checkpoint-4000
agreement_determiner_noun-across_1_adjective,0.5025
agreement_determiner_noun-between_neighbors,0.5065
agreement_subject_verb-across_prepositional_phrase,0.4945
agreement_subject_verb-across_relative_clause,0.4965
agreement_subject_verb-in_question_with_aux,0.496
agreement_subject_verb-in_simple_question,0.496
anaphor_agreement-pronoun_gender,0.5295
argument_structure-dropped_argument,0.7085
argument_structure-swapped_arguments,0.989
argument_structure-transitive,0.5
binding-principle_a,0.421
case-subjective_pronoun,0.9965
ellipsis-n_bar,0.616
filler-gap-wh_question_object,0.866
filler-gap-wh_question_subject,1.0
irregular-verb,0.554
island-effects-adjunct_island,0.3765
island-effects-coordinate_structure_constraint,0.612
local_attractor-in_question_with_aux,0.7865
npi_licensing-matrix_question,0.726
npi_licensing-only_npi_licensor,0.1125
quantifiers-existential_there,0.5615
quantifiers-superlative,0.0545
