,checkpoint-8000
agreement_determiner_noun-across_1_adjective,0.5235
agreement_determiner_noun-between_neighbors,0.5455
agreement_subject_verb-across_prepositional_phrase,0.51
agreement_subject_verb-across_relative_clause,0.5135
agreement_subject_verb-in_question_with_aux,0.5065
agreement_subject_verb-in_simple_question,0.49
anaphor_agreement-pronoun_gender,0.533
argument_structure-dropped_argument,0.8805
argument_structure-swapped_arguments,0.9915
argument_structure-transitive,0.6855
binding-principle_a,0.4955
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2455
filler-gap-wh_question_object,0.7305
filler-gap-wh_question_subject,1.0
irregular-verb,0.869
island-effects-adjunct_island,0.5365
island-effects-coordinate_structure_constraint,0.511
local_attractor-in_question_with_aux,0.6405
npi_licensing-matrix_question,0.476
npi_licensing-only_npi_licensor,0.7225
quantifiers-existential_there,0.721
quantifiers-superlative,0.5095
