,best
agreement_determiner_noun-across_1_adjective,0.612
agreement_determiner_noun-between_neighbors,0.7425
agreement_subject_verb-across_prepositional_phrase,0.564
agreement_subject_verb-across_relative_clause,0.5425
agreement_subject_verb-in_question_with_aux,0.5205
agreement_subject_verb-in_simple_question,0.539
anaphor_agreement-pronoun_gender,0.5555
argument_structure-dropped_argument,0.8765
argument_structure-swapped_arguments,0.9995
argument_structure-transitive,0.6055
binding-principle_a,0.584
case-subjective_pronoun,0.986
ellipsis-n_bar,0.4415
filler-gap-wh_question_object,0.5075
filler-gap-wh_question_subject,0.7585
irregular-verb,0.6545
island-effects-adjunct_island,0.6765
island-effects-coordinate_structure_constraint,0.495
local_attractor-in_question_with_aux,0.654
npi_licensing-matrix_question,0.3745
npi_licensing-only_npi_licensor,0.748
quantifiers-existential_there,0.8835
quantifiers-superlative,0.4615
