,best
agreement_determiner_noun-across_1_adjective,0.707
agreement_determiner_noun-between_neighbors,0.7935
agreement_subject_verb-across_prepositional_phrase,0.6165
agreement_subject_verb-across_relative_clause,0.581
agreement_subject_verb-in_question_with_aux,0.551
agreement_subject_verb-in_simple_question,0.56
anaphor_agreement-pronoun_gender,0.6085
argument_structure-dropped_argument,0.8125
argument_structure-swapped_arguments,0.9785
argument_structure-transitive,0.645
binding-principle_a,0.386
case-subjective_pronoun,0.999
ellipsis-n_bar,0.3985
filler-gap-wh_question_object,0.669
filler-gap-wh_question_subject,0.9915
irregular-verb,0.8145
island-effects-adjunct_island,0.8235
island-effects-coordinate_structure_constraint,0.702
local_attractor-in_question_with_aux,0.4565
npi_licensing-matrix_question,0.1155
npi_licensing-only_npi_licensor,0.905
quantifiers-existential_there,0.8885
quantifiers-superlative,0.2885
