,checkpoint-16000
adjunct_island,0.729
anaphor_gender_agreement,0.608
anaphor_number_agreement,0.654
animate_subject_passive,0.634
animate_subject_trans,0.632
causative,0.531
complex_NP_island,0.323
coordinate_structure_constraint_complex_left_branch,0.105
coordinate_structure_constraint_object_extraction,0.406
determiner_noun_agreement_1,0.799
determiner_noun_agreement_2,0.72
determiner_noun_agreement_irregular_1,0.669
determiner_noun_agreement_irregular_2,0.797
determiner_noun_agreement_with_adj_2,0.62
determiner_noun_agreement_with_adj_irregular_1,0.652
determiner_noun_agreement_with_adj_irregular_2,0.677
determiner_noun_agreement_with_adjective_1,0.626
distractor_agreement_relational_noun,0.242
distractor_agreement_relative_clause,0.214
drop_argument,0.561
ellipsis_n_bar_1,0.23
ellipsis_n_bar_2,0.661
existential_there_object_raising,0.739
existential_there_quantifiers_1,0.825
existential_there_quantifiers_2,0.546
existential_there_subject_raising,0.624
expletive_it_object_raising,0.688
inchoative,0.417
intransitive,0.429
irregular_past_participle_adjectives,0.743
irregular_past_participle_verbs,0.738
irregular_plural_subject_verb_agreement_1,0.679
irregular_plural_subject_verb_agreement_2,0.706
left_branch_island_echo_question,0.678
left_branch_island_simple_question,0.135
matrix_question_npi_licensor_present,0.118
npi_present_1,0.101
npi_present_2,0.141
only_npi_licensor_present,0.266
only_npi_scope,0.693
passive_1,0.716
passive_2,0.666
principle_A_c_command,0.557
principle_A_case_1,1.0
principle_A_case_2,0.578
principle_A_domain_1,0.995
principle_A_domain_2,0.529
principle_A_domain_3,0.549
principle_A_reconstruction,0.396
regular_plural_subject_verb_agreement_1,0.761
regular_plural_subject_verb_agreement_2,0.621
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.476
sentential_subject_island,0.384
superlative_quantifiers_1,0.661
superlative_quantifiers_2,0.879
tough_vs_raising_1,0.331
tough_vs_raising_2,0.704
transitive,0.693
wh_island,0.433
wh_questions_object_gap,0.616
wh_questions_subject_gap,0.921
wh_questions_subject_gap_long_distance,0.979
wh_vs_that_no_gap,0.972
wh_vs_that_no_gap_long_distance,0.992
wh_vs_that_with_gap,0.085
wh_vs_that_with_gap_long_distance,0.036
