,checkpoint-24000
adjunct_island,0.609
anaphor_gender_agreement,0.619
anaphor_number_agreement,0.716
animate_subject_passive,0.656
animate_subject_trans,0.613
causative,0.665
complex_NP_island,0.356
coordinate_structure_constraint_complex_left_branch,0.107
coordinate_structure_constraint_object_extraction,0.503
determiner_noun_agreement_1,0.891
determiner_noun_agreement_2,0.923
determiner_noun_agreement_irregular_1,0.729
determiner_noun_agreement_irregular_2,0.827
determiner_noun_agreement_with_adj_2,0.853
determiner_noun_agreement_with_adj_irregular_1,0.711
determiner_noun_agreement_with_adj_irregular_2,0.78
determiner_noun_agreement_with_adjective_1,0.765
distractor_agreement_relational_noun,0.242
distractor_agreement_relative_clause,0.244
drop_argument,0.554
ellipsis_n_bar_1,0.404
ellipsis_n_bar_2,0.71
existential_there_object_raising,0.736
existential_there_quantifiers_1,0.884
existential_there_quantifiers_2,0.532
existential_there_subject_raising,0.678
expletive_it_object_raising,0.684
inchoative,0.525
intransitive,0.54
irregular_past_participle_adjectives,0.797
irregular_past_participle_verbs,0.838
irregular_plural_subject_verb_agreement_1,0.742
irregular_plural_subject_verb_agreement_2,0.805
left_branch_island_echo_question,0.321
left_branch_island_simple_question,0.198
matrix_question_npi_licensor_present,0.181
npi_present_1,0.074
npi_present_2,0.168
only_npi_licensor_present,0.231
only_npi_scope,0.658
passive_1,0.705
passive_2,0.691
principle_A_c_command,0.568
principle_A_case_1,1.0
principle_A_case_2,0.649
principle_A_domain_1,0.938
principle_A_domain_2,0.551
principle_A_domain_3,0.565
principle_A_reconstruction,0.394
regular_plural_subject_verb_agreement_1,0.786
regular_plural_subject_verb_agreement_2,0.736
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.327
sentential_subject_island,0.331
superlative_quantifiers_1,0.843
superlative_quantifiers_2,0.884
tough_vs_raising_1,0.308
tough_vs_raising_2,0.722
transitive,0.701
wh_island,0.61
wh_questions_object_gap,0.563
wh_questions_subject_gap,0.817
wh_questions_subject_gap_long_distance,0.978
wh_vs_that_no_gap,0.937
wh_vs_that_no_gap_long_distance,0.966
wh_vs_that_with_gap,0.168
wh_vs_that_with_gap_long_distance,0.07
