,best
adjunct_island,0.506
superlative_quantifiers_2,0.23
anaphor_gender_agreement,0.439
tough_vs_raising_1,0.64
anaphor_number_agreement,0.526
tough_vs_raising_2,0.361
animate_subject_passive,0.486
wh_questions_subject_gap,0.7
animate_subject_trans,0.579
causative,0.477
wh_vs_that_no_gap,0.685
complex_NP_island,0.521
coordinate_structure_constraint_complex_left_branch,0.406
left_branch_island_echo_question,0.498
coordinate_structure_constraint_object_extraction,0.459
transitive,0.491
determiner_noun_agreement_1,0.493
wh_island,0.339
determiner_noun_agreement_2,0.532
only_npi_scope,0.804
determiner_noun_agreement_irregular_1,0.522
passive_1,0.523
determiner_noun_agreement_irregular_2,0.473
principle_A_domain_1,0.452
determiner_noun_agreement_with_adj_2,0.516
left_branch_island_simple_question,0.356
determiner_noun_agreement_with_adj_irregular_1,0.535
matrix_question_npi_licensor_present,0.401
determiner_noun_agreement_with_adj_irregular_2,0.476
npi_present_1,0.131
determiner_noun_agreement_with_adjective_1,0.504
principle_A_domain_2,0.538
distractor_agreement_relational_noun,0.531
principle_A_domain_3,0.524
distractor_agreement_relative_clause,0.546
drop_argument,0.46
wh_vs_that_with_gap,0.274
ellipsis_n_bar_1,0.492
ellipsis_n_bar_2,0.438
principle_A_reconstruction,0.49
existential_there_object_raising,0.483
regular_plural_subject_verb_agreement_1,0.504
existential_there_quantifiers_1,0.413
regular_plural_subject_verb_agreement_2,0.504
existential_there_quantifiers_2,0.653
sentential_negation_npi_licensor_present,0.763
existential_there_subject_raising,0.515
wh_questions_object_gap,0.521
expletive_it_object_raising,0.439
inchoative,0.53
intransitive,0.488
sentential_negation_npi_scope,0.337
irregular_past_participle_adjectives,0.558
sentential_subject_island,0.541
irregular_past_participle_verbs,0.414
npi_present_2,0.272
irregular_plural_subject_verb_agreement_1,0.5
only_npi_licensor_present,0.95
irregular_plural_subject_verb_agreement_2,0.502
passive_2,0.534
principle_A_c_command,0.35
principle_A_case_1,0.456
principle_A_case_2,0.485
superlative_quantifiers_1,0.564
wh_questions_subject_gap_long_distance,0.556
wh_vs_that_no_gap_long_distance,0.672
wh_vs_that_with_gap_long_distance,0.311
