,checkpoint-44000
adjunct_island,0.594
anaphor_gender_agreement,0.497
anaphor_number_agreement,0.754
animate_subject_passive,0.72
animate_subject_trans,0.605
causative,0.65
complex_NP_island,0.388
coordinate_structure_constraint_complex_left_branch,0.176
coordinate_structure_constraint_object_extraction,0.639
determiner_noun_agreement_1,0.862
determiner_noun_agreement_2,0.926
determiner_noun_agreement_irregular_1,0.735
determiner_noun_agreement_irregular_2,0.863
determiner_noun_agreement_with_adj_2,0.856
determiner_noun_agreement_with_adj_irregular_1,0.754
determiner_noun_agreement_with_adj_irregular_2,0.758
determiner_noun_agreement_with_adjective_1,0.781
distractor_agreement_relational_noun,0.343
distractor_agreement_relative_clause,0.3
drop_argument,0.535
ellipsis_n_bar_1,0.522
ellipsis_n_bar_2,0.743
existential_there_object_raising,0.734
existential_there_quantifiers_1,0.925
existential_there_quantifiers_2,0.487
existential_there_subject_raising,0.773
expletive_it_object_raising,0.674
inchoative,0.558
intransitive,0.528
irregular_past_participle_adjectives,0.8
irregular_past_participle_verbs,0.741
irregular_plural_subject_verb_agreement_1,0.697
irregular_plural_subject_verb_agreement_2,0.747
left_branch_island_echo_question,0.281
left_branch_island_simple_question,0.301
matrix_question_npi_licensor_present,0.306
npi_present_1,0.152
npi_present_2,0.248
only_npi_licensor_present,0.555
only_npi_scope,0.746
passive_1,0.626
passive_2,0.647
principle_A_c_command,0.566
principle_A_case_1,1.0
principle_A_case_2,0.693
principle_A_domain_1,0.973
principle_A_domain_2,0.642
principle_A_domain_3,0.584
principle_A_reconstruction,0.326
regular_plural_subject_verb_agreement_1,0.751
regular_plural_subject_verb_agreement_2,0.731
sentential_negation_npi_licensor_present,0.992
sentential_negation_npi_scope,0.416
sentential_subject_island,0.271
superlative_quantifiers_1,0.669
superlative_quantifiers_2,0.789
tough_vs_raising_1,0.374
tough_vs_raising_2,0.664
transitive,0.711
wh_island,0.65
wh_questions_object_gap,0.527
wh_questions_subject_gap,0.844
wh_questions_subject_gap_long_distance,0.939
wh_vs_that_no_gap,0.94
wh_vs_that_no_gap_long_distance,0.948
wh_vs_that_with_gap,0.213
wh_vs_that_with_gap_long_distance,0.115
