,checkpoint-8000
adjunct_island,0.678
anaphor_gender_agreement,0.527
anaphor_number_agreement,0.483
animate_subject_passive,0.629
animate_subject_trans,0.671
causative,0.46
complex_NP_island,0.445
coordinate_structure_constraint_complex_left_branch,0.196
coordinate_structure_constraint_object_extraction,0.57
determiner_noun_agreement_1,0.579
determiner_noun_agreement_2,0.493
determiner_noun_agreement_irregular_1,0.54
determiner_noun_agreement_irregular_2,0.565
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.491
determiner_noun_agreement_with_adj_irregular_2,0.535
determiner_noun_agreement_with_adjective_1,0.513
distractor_agreement_relational_noun,0.382
distractor_agreement_relative_clause,0.42
drop_argument,0.58
ellipsis_n_bar_1,0.325
ellipsis_n_bar_2,0.436
existential_there_object_raising,0.69
existential_there_quantifiers_1,0.775
existential_there_quantifiers_2,0.234
existential_there_subject_raising,0.55
expletive_it_object_raising,0.677
inchoative,0.413
intransitive,0.465
irregular_past_participle_adjectives,0.567
irregular_past_participle_verbs,0.776
irregular_plural_subject_verb_agreement_1,0.514
irregular_plural_subject_verb_agreement_2,0.522
left_branch_island_echo_question,0.759
left_branch_island_simple_question,0.265
matrix_question_npi_licensor_present,0.08
npi_present_1,0.311
npi_present_2,0.301
only_npi_licensor_present,0.703
only_npi_scope,0.539
passive_1,0.634
passive_2,0.601
principle_A_c_command,0.558
principle_A_case_1,1.0
principle_A_case_2,0.488
principle_A_domain_1,1.0
principle_A_domain_2,0.507
principle_A_domain_3,0.542
principle_A_reconstruction,0.194
regular_plural_subject_verb_agreement_1,0.71
regular_plural_subject_verb_agreement_2,0.477
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.352
sentential_subject_island,0.408
superlative_quantifiers_1,0.406
superlative_quantifiers_2,0.734
tough_vs_raising_1,0.389
tough_vs_raising_2,0.67
transitive,0.631
wh_island,0.752
wh_questions_object_gap,0.59
wh_questions_subject_gap,0.935
wh_questions_subject_gap_long_distance,0.945
wh_vs_that_no_gap,0.995
wh_vs_that_no_gap_long_distance,0.995
wh_vs_that_with_gap,0.006
wh_vs_that_with_gap_long_distance,0.009
