,epoch_4
adjunct_island,0.583
anaphor_gender_agreement,0.562
anaphor_number_agreement,0.489
animate_subject_passive,0.559
animate_subject_trans,0.465
causative,0.423
complex_NP_island,0.442
coordinate_structure_constraint_complex_left_branch,0.102
coordinate_structure_constraint_object_extraction,0.595
determiner_noun_agreement_1,0.512
determiner_noun_agreement_2,0.493
determiner_noun_agreement_irregular_1,0.523
determiner_noun_agreement_irregular_2,0.545
determiner_noun_agreement_with_adj_2,0.476
determiner_noun_agreement_with_adj_irregular_1,0.552
determiner_noun_agreement_with_adj_irregular_2,0.536
determiner_noun_agreement_with_adjective_1,0.501
distractor_agreement_relational_noun,0.486
distractor_agreement_relative_clause,0.479
drop_argument,0.49
ellipsis_n_bar_1,0.227
ellipsis_n_bar_2,0.436
existential_there_object_raising,0.67
existential_there_quantifiers_1,0.62
existential_there_quantifiers_2,0.146
existential_there_subject_raising,0.589
expletive_it_object_raising,0.612
inchoative,0.402
intransitive,0.406
irregular_past_participle_adjectives,0.149
irregular_past_participle_verbs,0.757
irregular_plural_subject_verb_agreement_1,0.579
irregular_plural_subject_verb_agreement_2,0.569
left_branch_island_echo_question,0.279
left_branch_island_simple_question,0.124
matrix_question_npi_licensor_present,0.191
npi_present_1,0.433
npi_present_2,0.379
only_npi_licensor_present,0.001
only_npi_scope,0.417
passive_1,0.508
passive_2,0.49
principle_A_c_command,0.61
principle_A_case_1,1.0
principle_A_case_2,0.461
principle_A_domain_1,0.995
principle_A_domain_2,0.493
principle_A_domain_3,0.539
principle_A_reconstruction,0.254
regular_plural_subject_verb_agreement_1,0.484
regular_plural_subject_verb_agreement_2,0.483
sentential_negation_npi_licensor_present,0.996
sentential_negation_npi_scope,0.778
sentential_subject_island,0.591
superlative_quantifiers_1,0.494
superlative_quantifiers_2,0.504
tough_vs_raising_1,0.473
tough_vs_raising_2,0.579
transitive,0.579
wh_island,0.825
wh_questions_object_gap,0.491
wh_questions_subject_gap,0.825
wh_questions_subject_gap_long_distance,0.827
wh_vs_that_no_gap,0.832
wh_vs_that_no_gap_long_distance,0.876
wh_vs_that_with_gap,0.181
wh_vs_that_with_gap_long_distance,0.194
