,checkpoint-4000
adjunct_island,0.576
anaphor_gender_agreement,0.627
anaphor_number_agreement,0.469
animate_subject_passive,0.584
animate_subject_trans,0.407
causative,0.441
complex_NP_island,0.547
coordinate_structure_constraint_complex_left_branch,0.358
coordinate_structure_constraint_object_extraction,0.466
determiner_noun_agreement_1,0.53
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.508
determiner_noun_agreement_irregular_2,0.533
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.513
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.511
distractor_agreement_relational_noun,0.497
distractor_agreement_relative_clause,0.528
drop_argument,0.574
ellipsis_n_bar_1,0.378
ellipsis_n_bar_2,0.322
existential_there_object_raising,0.689
existential_there_quantifiers_1,0.75
existential_there_quantifiers_2,0.552
existential_there_subject_raising,0.598
expletive_it_object_raising,0.644
inchoative,0.315
intransitive,0.402
irregular_past_participle_adjectives,0.313
irregular_past_participle_verbs,0.706
irregular_plural_subject_verb_agreement_1,0.52
irregular_plural_subject_verb_agreement_2,0.511
left_branch_island_echo_question,0.535
left_branch_island_simple_question,0.37
matrix_question_npi_licensor_present,0.098
npi_present_1,0.399
npi_present_2,0.348
only_npi_licensor_present,0.195
only_npi_scope,0.548
passive_1,0.634
passive_2,0.629
principle_A_c_command,0.643
principle_A_case_1,1.0
principle_A_case_2,0.432
principle_A_domain_1,1.0
principle_A_domain_2,0.494
principle_A_domain_3,0.528
principle_A_reconstruction,0.268
regular_plural_subject_verb_agreement_1,0.463
regular_plural_subject_verb_agreement_2,0.446
sentential_negation_npi_licensor_present,0.997
sentential_negation_npi_scope,0.307
sentential_subject_island,0.479
superlative_quantifiers_1,0.417
superlative_quantifiers_2,0.307
tough_vs_raising_1,0.426
tough_vs_raising_2,0.612
transitive,0.621
wh_island,0.87
wh_questions_object_gap,0.813
wh_questions_subject_gap,0.996
wh_questions_subject_gap_long_distance,0.985
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.0
