,checkpoint-2000
adjunct_island,0.552
anaphor_gender_agreement,0.785
anaphor_number_agreement,0.652
animate_subject_passive,0.503
animate_subject_trans,0.486
causative,0.431
complex_NP_island,0.563
coordinate_structure_constraint_complex_left_branch,0.545
coordinate_structure_constraint_object_extraction,0.518
determiner_noun_agreement_1,0.511
determiner_noun_agreement_2,0.515
determiner_noun_agreement_irregular_1,0.496
determiner_noun_agreement_irregular_2,0.492
determiner_noun_agreement_with_adj_2,0.503
determiner_noun_agreement_with_adj_irregular_1,0.511
determiner_noun_agreement_with_adj_irregular_2,0.487
determiner_noun_agreement_with_adjective_1,0.516
distractor_agreement_relational_noun,0.516
distractor_agreement_relative_clause,0.506
drop_argument,0.686
ellipsis_n_bar_1,0.439
ellipsis_n_bar_2,0.401
existential_there_object_raising,0.583
existential_there_quantifiers_1,0.871
existential_there_quantifiers_2,0.696
existential_there_subject_raising,0.537
expletive_it_object_raising,0.539
inchoative,0.455
intransitive,0.573
irregular_past_participle_adjectives,0.416
irregular_past_participle_verbs,0.468
irregular_plural_subject_verb_agreement_1,0.455
irregular_plural_subject_verb_agreement_2,0.456
left_branch_island_echo_question,0.265
left_branch_island_simple_question,0.54
matrix_question_npi_licensor_present,0.452
npi_present_1,0.246
npi_present_2,0.292
only_npi_licensor_present,0.12
only_npi_scope,0.355
passive_1,0.666
passive_2,0.67
principle_A_c_command,0.458
principle_A_case_1,0.903
principle_A_case_2,0.577
principle_A_domain_1,0.55
principle_A_domain_2,0.44
principle_A_domain_3,0.517
principle_A_reconstruction,0.643
regular_plural_subject_verb_agreement_1,0.575
regular_plural_subject_verb_agreement_2,0.528
sentential_negation_npi_licensor_present,0.603
sentential_negation_npi_scope,0.406
sentential_subject_island,0.472
superlative_quantifiers_1,0.722
superlative_quantifiers_2,0.046
tough_vs_raising_1,0.357
tough_vs_raising_2,0.65
transitive,0.484
wh_island,0.805
wh_questions_object_gap,0.528
wh_questions_subject_gap,0.537
wh_questions_subject_gap_long_distance,0.504
wh_vs_that_no_gap,0.628
wh_vs_that_no_gap_long_distance,0.668
wh_vs_that_with_gap,0.381
wh_vs_that_with_gap_long_distance,0.305
