,best
adjunct_island,0.465
anaphor_gender_agreement,0.759
anaphor_number_agreement,0.608
animate_subject_passive,0.46
animate_subject_trans,0.488
causative,0.407
complex_NP_island,0.405
coordinate_structure_constraint_complex_left_branch,0.527
coordinate_structure_constraint_object_extraction,0.492
determiner_noun_agreement_1,0.529
determiner_noun_agreement_2,0.492
determiner_noun_agreement_irregular_1,0.522
determiner_noun_agreement_irregular_2,0.516
determiner_noun_agreement_with_adj_2,0.487
determiner_noun_agreement_with_adj_irregular_1,0.512
determiner_noun_agreement_with_adj_irregular_2,0.54
determiner_noun_agreement_with_adjective_1,0.505
distractor_agreement_relational_noun,0.485
distractor_agreement_relative_clause,0.481
drop_argument,0.53
ellipsis_n_bar_1,0.302
ellipsis_n_bar_2,0.443
existential_there_object_raising,0.619
existential_there_quantifiers_1,0.738
existential_there_quantifiers_2,0.014
existential_there_subject_raising,0.521
expletive_it_object_raising,0.582
inchoative,0.469
intransitive,0.512
irregular_past_participle_adjectives,0.405
irregular_past_participle_verbs,0.641
irregular_plural_subject_verb_agreement_1,0.512
irregular_plural_subject_verb_agreement_2,0.512
left_branch_island_echo_question,0.517
left_branch_island_simple_question,0.506
matrix_question_npi_licensor_present,0.149
npi_present_1,0.587
npi_present_2,0.532
only_npi_licensor_present,0.234
only_npi_scope,0.337
passive_1,0.528
passive_2,0.501
principle_A_c_command,0.478
principle_A_case_1,0.917
principle_A_case_2,0.481
principle_A_domain_1,0.457
principle_A_domain_2,0.446
principle_A_domain_3,0.505
principle_A_reconstruction,0.511
regular_plural_subject_verb_agreement_1,0.478
regular_plural_subject_verb_agreement_2,0.495
sentential_negation_npi_licensor_present,0.692
sentential_negation_npi_scope,0.711
sentential_subject_island,0.496
superlative_quantifiers_1,0.378
superlative_quantifiers_2,0.054
tough_vs_raising_1,0.481
tough_vs_raising_2,0.529
transitive,0.509
wh_island,0.69
wh_questions_object_gap,0.466
wh_questions_subject_gap,0.597
wh_questions_subject_gap_long_distance,0.589
wh_vs_that_no_gap,0.554
wh_vs_that_no_gap_long_distance,0.615
wh_vs_that_with_gap,0.434
wh_vs_that_with_gap_long_distance,0.385
