,checkpoint-20000
adjunct_island,0.632
anaphor_gender_agreement,0.563
anaphor_number_agreement,0.707
animate_subject_passive,0.648
animate_subject_trans,0.593
causative,0.621
complex_NP_island,0.316
coordinate_structure_constraint_complex_left_branch,0.101
coordinate_structure_constraint_object_extraction,0.419
determiner_noun_agreement_1,0.877
determiner_noun_agreement_2,0.871
determiner_noun_agreement_irregular_1,0.732
determiner_noun_agreement_irregular_2,0.873
determiner_noun_agreement_with_adj_2,0.804
determiner_noun_agreement_with_adj_irregular_1,0.745
determiner_noun_agreement_with_adj_irregular_2,0.769
determiner_noun_agreement_with_adjective_1,0.759
distractor_agreement_relational_noun,0.229
distractor_agreement_relative_clause,0.209
drop_argument,0.578
ellipsis_n_bar_1,0.382
ellipsis_n_bar_2,0.71
existential_there_object_raising,0.757
existential_there_quantifiers_1,0.846
existential_there_quantifiers_2,0.461
existential_there_subject_raising,0.653
expletive_it_object_raising,0.69
inchoative,0.496
intransitive,0.502
irregular_past_participle_adjectives,0.828
irregular_past_participle_verbs,0.802
irregular_plural_subject_verb_agreement_1,0.715
irregular_plural_subject_verb_agreement_2,0.758
left_branch_island_echo_question,0.428
left_branch_island_simple_question,0.19
matrix_question_npi_licensor_present,0.235
npi_present_1,0.13
npi_present_2,0.196
only_npi_licensor_present,0.434
only_npi_scope,0.837
passive_1,0.703
passive_2,0.652
principle_A_c_command,0.51
principle_A_case_1,1.0
principle_A_case_2,0.649
principle_A_domain_1,0.992
principle_A_domain_2,0.574
principle_A_domain_3,0.557
principle_A_reconstruction,0.421
regular_plural_subject_verb_agreement_1,0.783
regular_plural_subject_verb_agreement_2,0.688
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.399
sentential_subject_island,0.378
superlative_quantifiers_1,0.905
superlative_quantifiers_2,0.846
tough_vs_raising_1,0.293
tough_vs_raising_2,0.74
transitive,0.7
wh_island,0.62
wh_questions_object_gap,0.606
wh_questions_subject_gap,0.891
wh_questions_subject_gap_long_distance,0.991
wh_vs_that_no_gap,0.931
wh_vs_that_no_gap_long_distance,0.958
wh_vs_that_with_gap,0.178
wh_vs_that_with_gap_long_distance,0.078
