,checkpoint-12000
adjunct_island,0.689
anaphor_gender_agreement,0.614
anaphor_number_agreement,0.684
animate_subject_passive,0.63
animate_subject_trans,0.736
causative,0.482
complex_NP_island,0.345
coordinate_structure_constraint_complex_left_branch,0.219
coordinate_structure_constraint_object_extraction,0.516
determiner_noun_agreement_1,0.725
determiner_noun_agreement_2,0.62
determiner_noun_agreement_irregular_1,0.613
determiner_noun_agreement_irregular_2,0.744
determiner_noun_agreement_with_adj_2,0.505
determiner_noun_agreement_with_adj_irregular_1,0.563
determiner_noun_agreement_with_adj_irregular_2,0.587
determiner_noun_agreement_with_adjective_1,0.546
distractor_agreement_relational_noun,0.31
distractor_agreement_relative_clause,0.281
drop_argument,0.575
ellipsis_n_bar_1,0.327
ellipsis_n_bar_2,0.589
existential_there_object_raising,0.719
existential_there_quantifiers_1,0.862
existential_there_quantifiers_2,0.689
existential_there_subject_raising,0.504
expletive_it_object_raising,0.689
inchoative,0.435
intransitive,0.492
irregular_past_participle_adjectives,0.812
irregular_past_participle_verbs,0.843
irregular_plural_subject_verb_agreement_1,0.622
irregular_plural_subject_verb_agreement_2,0.623
left_branch_island_echo_question,0.728
left_branch_island_simple_question,0.346
matrix_question_npi_licensor_present,0.135
npi_present_1,0.192
npi_present_2,0.295
only_npi_licensor_present,0.718
only_npi_scope,0.603
passive_1,0.692
passive_2,0.604
principle_A_c_command,0.585
principle_A_case_1,1.0
principle_A_case_2,0.556
principle_A_domain_1,0.962
principle_A_domain_2,0.501
principle_A_domain_3,0.52
principle_A_reconstruction,0.373
regular_plural_subject_verb_agreement_1,0.718
regular_plural_subject_verb_agreement_2,0.556
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.528
sentential_subject_island,0.454
superlative_quantifiers_1,0.536
superlative_quantifiers_2,0.915
tough_vs_raising_1,0.408
tough_vs_raising_2,0.658
transitive,0.657
wh_island,0.561
wh_questions_object_gap,0.597
wh_questions_subject_gap,0.904
wh_questions_subject_gap_long_distance,0.976
wh_vs_that_no_gap,0.959
wh_vs_that_no_gap_long_distance,0.991
wh_vs_that_with_gap,0.063
wh_vs_that_with_gap_long_distance,0.019
