,best
adjunct_island,0.479
anaphor_gender_agreement,0.496
anaphor_number_agreement,0.58
animate_subject_passive,0.577
animate_subject_trans,0.445
causative,0.478
complex_NP_island,0.618
coordinate_structure_constraint_complex_left_branch,0.248
coordinate_structure_constraint_object_extraction,0.771
determiner_noun_agreement_1,0.551
determiner_noun_agreement_2,0.489
determiner_noun_agreement_irregular_1,0.518
determiner_noun_agreement_irregular_2,0.499
determiner_noun_agreement_with_adj_2,0.495
determiner_noun_agreement_with_adj_irregular_1,0.487
determiner_noun_agreement_with_adj_irregular_2,0.532
determiner_noun_agreement_with_adjective_1,0.511
distractor_agreement_relational_noun,0.459
distractor_agreement_relative_clause,0.492
drop_argument,0.472
ellipsis_n_bar_1,0.197
ellipsis_n_bar_2,0.475
existential_there_object_raising,0.677
existential_there_quantifiers_1,0.754
existential_there_quantifiers_2,0.071
existential_there_subject_raising,0.572
expletive_it_object_raising,0.621
inchoative,0.504
intransitive,0.412
irregular_past_participle_adjectives,0.343
irregular_past_participle_verbs,0.643
irregular_plural_subject_verb_agreement_1,0.555
irregular_plural_subject_verb_agreement_2,0.521
left_branch_island_echo_question,0.551
left_branch_island_simple_question,0.323
matrix_question_npi_licensor_present,0.222
npi_present_1,0.466
npi_present_2,0.462
only_npi_licensor_present,0.0
only_npi_scope,0.082
passive_1,0.45
passive_2,0.391
principle_A_c_command,0.36
principle_A_case_1,1.0
principle_A_case_2,0.442
principle_A_domain_1,0.988
principle_A_domain_2,0.557
principle_A_domain_3,0.48
principle_A_reconstruction,0.269
regular_plural_subject_verb_agreement_1,0.563
regular_plural_subject_verb_agreement_2,0.492
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.372
sentential_subject_island,0.528
superlative_quantifiers_1,0.398
superlative_quantifiers_2,0.157
tough_vs_raising_1,0.439
tough_vs_raising_2,0.589
transitive,0.565
wh_island,0.725
wh_questions_object_gap,0.42
wh_questions_subject_gap,0.69
wh_questions_subject_gap_long_distance,0.636
wh_vs_that_no_gap,0.858
wh_vs_that_no_gap_long_distance,0.851
wh_vs_that_with_gap,0.169
wh_vs_that_with_gap_long_distance,0.178
