,best
adjunct_island,0.597
anaphor_gender_agreement,0.732
anaphor_number_agreement,0.644
animate_subject_passive,0.557
animate_subject_trans,0.604
causative,0.422
complex_NP_island,0.673
coordinate_structure_constraint_complex_left_branch,0.18
coordinate_structure_constraint_object_extraction,0.552
determiner_noun_agreement_1,0.512
determiner_noun_agreement_2,0.502
determiner_noun_agreement_irregular_1,0.522
determiner_noun_agreement_irregular_2,0.577
determiner_noun_agreement_with_adj_2,0.489
determiner_noun_agreement_with_adj_irregular_1,0.546
determiner_noun_agreement_with_adj_irregular_2,0.532
determiner_noun_agreement_with_adjective_1,0.5
distractor_agreement_relational_noun,0.465
distractor_agreement_relative_clause,0.458
drop_argument,0.567
ellipsis_n_bar_1,0.398
ellipsis_n_bar_2,0.515
existential_there_object_raising,0.685
existential_there_quantifiers_1,0.828
existential_there_quantifiers_2,0.029
existential_there_subject_raising,0.558
expletive_it_object_raising,0.649
inchoative,0.425
intransitive,0.453
irregular_past_participle_adjectives,0.792
irregular_past_participle_verbs,0.738
irregular_plural_subject_verb_agreement_1,0.527
irregular_plural_subject_verb_agreement_2,0.532
left_branch_island_echo_question,0.585
left_branch_island_simple_question,0.273
matrix_question_npi_licensor_present,0.003
npi_present_1,0.347
npi_present_2,0.275
only_npi_licensor_present,0.006
only_npi_scope,0.063
passive_1,0.554
passive_2,0.514
principle_A_c_command,0.387
principle_A_case_1,1.0
principle_A_case_2,0.419
principle_A_domain_1,0.932
principle_A_domain_2,0.456
principle_A_domain_3,0.505
principle_A_reconstruction,0.405
regular_plural_subject_verb_agreement_1,0.565
regular_plural_subject_verb_agreement_2,0.496
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.673
sentential_subject_island,0.595
superlative_quantifiers_1,0.326
superlative_quantifiers_2,0.461
tough_vs_raising_1,0.456
tough_vs_raising_2,0.594
transitive,0.588
wh_island,0.899
wh_questions_object_gap,0.397
wh_questions_subject_gap,0.589
wh_questions_subject_gap_long_distance,0.65
wh_vs_that_no_gap,0.886
wh_vs_that_no_gap_long_distance,0.938
wh_vs_that_with_gap,0.184
wh_vs_that_with_gap_long_distance,0.13
