,best
adjunct_island,0.546
anaphor_gender_agreement,0.545
anaphor_number_agreement,0.557
animate_subject_passive,0.559
animate_subject_trans,0.421
causative,0.45
complex_NP_island,0.383
coordinate_structure_constraint_complex_left_branch,0.555
coordinate_structure_constraint_object_extraction,0.407
determiner_noun_agreement_1,0.499
determiner_noun_agreement_2,0.505
determiner_noun_agreement_irregular_1,0.52
determiner_noun_agreement_irregular_2,0.49
determiner_noun_agreement_with_adj_2,0.507
determiner_noun_agreement_with_adj_irregular_1,0.466
determiner_noun_agreement_with_adj_irregular_2,0.493
determiner_noun_agreement_with_adjective_1,0.469
distractor_agreement_relational_noun,0.512
distractor_agreement_relative_clause,0.531
drop_argument,0.477
ellipsis_n_bar_1,0.28
ellipsis_n_bar_2,0.419
existential_there_object_raising,0.628
existential_there_quantifiers_1,0.781
existential_there_quantifiers_2,0.299
existential_there_subject_raising,0.585
expletive_it_object_raising,0.591
inchoative,0.349
intransitive,0.411
irregular_past_participle_adjectives,0.278
irregular_past_participle_verbs,0.531
irregular_plural_subject_verb_agreement_1,0.526
irregular_plural_subject_verb_agreement_2,0.493
left_branch_island_echo_question,0.798
left_branch_island_simple_question,0.563
matrix_question_npi_licensor_present,0.037
npi_present_1,0.313
npi_present_2,0.313
only_npi_licensor_present,0.024
only_npi_scope,0.345
passive_1,0.502
passive_2,0.526
principle_A_c_command,0.475
principle_A_case_1,0.95
principle_A_case_2,0.487
principle_A_domain_1,0.57
principle_A_domain_2,0.487
principle_A_domain_3,0.494
principle_A_reconstruction,0.385
regular_plural_subject_verb_agreement_1,0.474
regular_plural_subject_verb_agreement_2,0.486
sentential_negation_npi_licensor_present,0.998
sentential_negation_npi_scope,0.569
sentential_subject_island,0.434
superlative_quantifiers_1,0.09
superlative_quantifiers_2,0.144
tough_vs_raising_1,0.496
tough_vs_raising_2,0.515
transitive,0.602
wh_island,0.889
wh_questions_object_gap,0.716
wh_questions_subject_gap,0.902
wh_questions_subject_gap_long_distance,0.831
wh_vs_that_no_gap,0.829
wh_vs_that_no_gap_long_distance,0.769
wh_vs_that_with_gap,0.193
wh_vs_that_with_gap_long_distance,0.273
