,checkpoint-40000
adjunct_island,0.64
anaphor_gender_agreement,0.725
anaphor_number_agreement,0.912
animate_subject_passive,0.705
animate_subject_trans,0.807
causative,0.706
complex_NP_island,0.345
coordinate_structure_constraint_complex_left_branch,0.355
coordinate_structure_constraint_object_extraction,0.424
determiner_noun_agreement_1,0.876
determiner_noun_agreement_2,0.882
determiner_noun_agreement_irregular_1,0.72
determiner_noun_agreement_irregular_2,0.834
determiner_noun_agreement_with_adj_2,0.828
determiner_noun_agreement_with_adj_irregular_1,0.777
determiner_noun_agreement_with_adj_irregular_2,0.744
determiner_noun_agreement_with_adjective_1,0.773
distractor_agreement_relational_noun,0.365
distractor_agreement_relative_clause,0.332
drop_argument,0.575
ellipsis_n_bar_1,0.501
ellipsis_n_bar_2,0.745
existential_there_object_raising,0.703
existential_there_quantifiers_1,0.961
existential_there_quantifiers_2,0.624
existential_there_subject_raising,0.722
expletive_it_object_raising,0.688
inchoative,0.562
intransitive,0.561
irregular_past_participle_adjectives,0.719
irregular_past_participle_verbs,0.828
irregular_plural_subject_verb_agreement_1,0.771
irregular_plural_subject_verb_agreement_2,0.739
left_branch_island_echo_question,0.521
left_branch_island_simple_question,0.45
matrix_question_npi_licensor_present,0.274
npi_present_1,0.468
npi_present_2,0.634
only_npi_licensor_present,0.712
only_npi_scope,0.551
passive_1,0.663
passive_2,0.637
principle_A_c_command,0.596
principle_A_case_1,1.0
principle_A_case_2,0.749
principle_A_domain_1,0.976
principle_A_domain_2,0.631
principle_A_domain_3,0.543
principle_A_reconstruction,0.306
regular_plural_subject_verb_agreement_1,0.793
regular_plural_subject_verb_agreement_2,0.744
sentential_negation_npi_licensor_present,0.988
sentential_negation_npi_scope,0.318
sentential_subject_island,0.277
superlative_quantifiers_1,0.853
superlative_quantifiers_2,0.913
tough_vs_raising_1,0.347
tough_vs_raising_2,0.724
transitive,0.69
wh_island,0.489
wh_questions_object_gap,0.53
wh_questions_subject_gap,0.847
wh_questions_subject_gap_long_distance,0.968
wh_vs_that_no_gap,0.915
wh_vs_that_no_gap_long_distance,0.932
wh_vs_that_with_gap,0.242
wh_vs_that_with_gap_long_distance,0.139
