,checkpoint-12000
adjunct_island,0.728
anaphor_gender_agreement,0.635
anaphor_number_agreement,0.632
animate_subject_passive,0.623
animate_subject_trans,0.641
causative,0.481
complex_NP_island,0.282
coordinate_structure_constraint_complex_left_branch,0.139
coordinate_structure_constraint_object_extraction,0.53
determiner_noun_agreement_1,0.725
determiner_noun_agreement_2,0.598
determiner_noun_agreement_irregular_1,0.625
determiner_noun_agreement_irregular_2,0.738
determiner_noun_agreement_with_adj_2,0.496
determiner_noun_agreement_with_adj_irregular_1,0.595
determiner_noun_agreement_with_adj_irregular_2,0.565
determiner_noun_agreement_with_adjective_1,0.542
distractor_agreement_relational_noun,0.3
distractor_agreement_relative_clause,0.265
drop_argument,0.555
ellipsis_n_bar_1,0.24
ellipsis_n_bar_2,0.568
existential_there_object_raising,0.724
existential_there_quantifiers_1,0.793
existential_there_quantifiers_2,0.322
existential_there_subject_raising,0.573
expletive_it_object_raising,0.685
inchoative,0.439
intransitive,0.458
irregular_past_participle_adjectives,0.577
irregular_past_participle_verbs,0.744
irregular_plural_subject_verb_agreement_1,0.613
irregular_plural_subject_verb_agreement_2,0.618
left_branch_island_echo_question,0.757
left_branch_island_simple_question,0.148
matrix_question_npi_licensor_present,0.075
npi_present_1,0.13
npi_present_2,0.136
only_npi_licensor_present,0.486
only_npi_scope,0.616
passive_1,0.682
passive_2,0.616
principle_A_c_command,0.542
principle_A_case_1,1.0
principle_A_case_2,0.521
principle_A_domain_1,0.984
principle_A_domain_2,0.517
principle_A_domain_3,0.542
principle_A_reconstruction,0.3
regular_plural_subject_verb_agreement_1,0.74
regular_plural_subject_verb_agreement_2,0.568
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.565
sentential_subject_island,0.402
superlative_quantifiers_1,0.675
superlative_quantifiers_2,0.963
tough_vs_raising_1,0.421
tough_vs_raising_2,0.638
transitive,0.661
wh_island,0.551
wh_questions_object_gap,0.675
wh_questions_subject_gap,0.962
wh_questions_subject_gap_long_distance,0.983
wh_vs_that_no_gap,0.991
wh_vs_that_no_gap_long_distance,0.999
wh_vs_that_with_gap,0.036
wh_vs_that_with_gap_long_distance,0.005
