,checkpoint-28000
adjunct_island,0.665
anaphor_gender_agreement,0.706
anaphor_number_agreement,0.853
animate_subject_passive,0.704
animate_subject_trans,0.862
causative,0.642
complex_NP_island,0.257
coordinate_structure_constraint_complex_left_branch,0.236
coordinate_structure_constraint_object_extraction,0.443
determiner_noun_agreement_1,0.885
determiner_noun_agreement_2,0.926
determiner_noun_agreement_irregular_1,0.739
determiner_noun_agreement_irregular_2,0.87
determiner_noun_agreement_with_adj_2,0.824
determiner_noun_agreement_with_adj_irregular_1,0.766
determiner_noun_agreement_with_adj_irregular_2,0.773
determiner_noun_agreement_with_adjective_1,0.778
distractor_agreement_relational_noun,0.266
distractor_agreement_relative_clause,0.267
drop_argument,0.6
ellipsis_n_bar_1,0.44
ellipsis_n_bar_2,0.734
existential_there_object_raising,0.734
existential_there_quantifiers_1,0.974
existential_there_quantifiers_2,0.672
existential_there_subject_raising,0.76
expletive_it_object_raising,0.706
inchoative,0.574
intransitive,0.583
irregular_past_participle_adjectives,0.775
irregular_past_participle_verbs,0.862
irregular_plural_subject_verb_agreement_1,0.748
irregular_plural_subject_verb_agreement_2,0.763
left_branch_island_echo_question,0.58
left_branch_island_simple_question,0.401
matrix_question_npi_licensor_present,0.232
npi_present_1,0.401
npi_present_2,0.49
only_npi_licensor_present,0.448
only_npi_scope,0.552
passive_1,0.682
passive_2,0.687
principle_A_c_command,0.598
principle_A_case_1,1.0
principle_A_case_2,0.72
principle_A_domain_1,0.982
principle_A_domain_2,0.599
principle_A_domain_3,0.553
principle_A_reconstruction,0.329
regular_plural_subject_verb_agreement_1,0.784
regular_plural_subject_verb_agreement_2,0.796
sentential_negation_npi_licensor_present,0.994
sentential_negation_npi_scope,0.234
sentential_subject_island,0.276
superlative_quantifiers_1,0.886
superlative_quantifiers_2,0.984
tough_vs_raising_1,0.286
tough_vs_raising_2,0.749
transitive,0.683
wh_island,0.382
wh_questions_object_gap,0.542
wh_questions_subject_gap,0.854
wh_questions_subject_gap_long_distance,0.974
wh_vs_that_no_gap,0.907
wh_vs_that_no_gap_long_distance,0.927
wh_vs_that_with_gap,0.217
wh_vs_that_with_gap_long_distance,0.133
