,checkpoint-20000
adjunct_island,0.669
anaphor_gender_agreement,0.635
anaphor_number_agreement,0.863
animate_subject_passive,0.659
animate_subject_trans,0.773
causative,0.606
complex_NP_island,0.317
coordinate_structure_constraint_complex_left_branch,0.209
coordinate_structure_constraint_object_extraction,0.442
determiner_noun_agreement_1,0.816
determiner_noun_agreement_2,0.827
determiner_noun_agreement_irregular_1,0.735
determiner_noun_agreement_irregular_2,0.832
determiner_noun_agreement_with_adj_2,0.746
determiner_noun_agreement_with_adj_irregular_1,0.659
determiner_noun_agreement_with_adj_irregular_2,0.72
determiner_noun_agreement_with_adjective_1,0.678
distractor_agreement_relational_noun,0.268
distractor_agreement_relative_clause,0.249
drop_argument,0.611
ellipsis_n_bar_1,0.375
ellipsis_n_bar_2,0.737
existential_there_object_raising,0.739
existential_there_quantifiers_1,0.926
existential_there_quantifiers_2,0.726
existential_there_subject_raising,0.697
expletive_it_object_raising,0.695
inchoative,0.494
intransitive,0.532
irregular_past_participle_adjectives,0.883
irregular_past_participle_verbs,0.89
irregular_plural_subject_verb_agreement_1,0.734
irregular_plural_subject_verb_agreement_2,0.728
left_branch_island_echo_question,0.554
left_branch_island_simple_question,0.33
matrix_question_npi_licensor_present,0.164
npi_present_1,0.331
npi_present_2,0.36
only_npi_licensor_present,0.509
only_npi_scope,0.504
passive_1,0.709
passive_2,0.675
principle_A_c_command,0.604
principle_A_case_1,1.0
principle_A_case_2,0.55
principle_A_domain_1,0.991
principle_A_domain_2,0.533
principle_A_domain_3,0.507
principle_A_reconstruction,0.337
regular_plural_subject_verb_agreement_1,0.756
regular_plural_subject_verb_agreement_2,0.636
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.437
sentential_subject_island,0.269
superlative_quantifiers_1,0.941
superlative_quantifiers_2,0.957
tough_vs_raising_1,0.3
tough_vs_raising_2,0.755
transitive,0.681
wh_island,0.473
wh_questions_object_gap,0.512
wh_questions_subject_gap,0.873
wh_questions_subject_gap_long_distance,0.985
wh_vs_that_no_gap,0.97
wh_vs_that_no_gap_long_distance,0.988
wh_vs_that_with_gap,0.139
wh_vs_that_with_gap_long_distance,0.058
