,checkpoint-24000
adjunct_island,0.667
anaphor_gender_agreement,0.612
anaphor_number_agreement,0.824
animate_subject_passive,0.691
animate_subject_trans,0.807
causative,0.659
complex_NP_island,0.268
coordinate_structure_constraint_complex_left_branch,0.234
coordinate_structure_constraint_object_extraction,0.582
determiner_noun_agreement_1,0.874
determiner_noun_agreement_2,0.895
determiner_noun_agreement_irregular_1,0.761
determiner_noun_agreement_irregular_2,0.857
determiner_noun_agreement_with_adj_2,0.821
determiner_noun_agreement_with_adj_irregular_1,0.723
determiner_noun_agreement_with_adj_irregular_2,0.769
determiner_noun_agreement_with_adjective_1,0.745
distractor_agreement_relational_noun,0.283
distractor_agreement_relative_clause,0.259
drop_argument,0.575
ellipsis_n_bar_1,0.45
ellipsis_n_bar_2,0.77
existential_there_object_raising,0.755
existential_there_quantifiers_1,0.952
existential_there_quantifiers_2,0.808
existential_there_subject_raising,0.679
expletive_it_object_raising,0.714
inchoative,0.524
intransitive,0.561
irregular_past_participle_adjectives,0.794
irregular_past_participle_verbs,0.865
irregular_plural_subject_verb_agreement_1,0.771
irregular_plural_subject_verb_agreement_2,0.755
left_branch_island_echo_question,0.491
left_branch_island_simple_question,0.394
matrix_question_npi_licensor_present,0.251
npi_present_1,0.313
npi_present_2,0.316
only_npi_licensor_present,0.651
only_npi_scope,0.527
passive_1,0.705
passive_2,0.688
principle_A_c_command,0.623
principle_A_case_1,1.0
principle_A_case_2,0.578
principle_A_domain_1,0.993
principle_A_domain_2,0.556
principle_A_domain_3,0.495
principle_A_reconstruction,0.436
regular_plural_subject_verb_agreement_1,0.769
regular_plural_subject_verb_agreement_2,0.711
sentential_negation_npi_licensor_present,0.998
sentential_negation_npi_scope,0.336
sentential_subject_island,0.315
superlative_quantifiers_1,0.974
superlative_quantifiers_2,0.979
tough_vs_raising_1,0.288
tough_vs_raising_2,0.759
transitive,0.676
wh_island,0.528
wh_questions_object_gap,0.529
wh_questions_subject_gap,0.842
wh_questions_subject_gap_long_distance,0.983
wh_vs_that_no_gap,0.93
wh_vs_that_no_gap_long_distance,0.956
wh_vs_that_with_gap,0.231
wh_vs_that_with_gap_long_distance,0.119
