,epoch_10
adjunct_island,0.587
anaphor_gender_agreement,0.612
anaphor_number_agreement,0.509
animate_subject_passive,0.568
animate_subject_trans,0.53
causative,0.426
complex_NP_island,0.441
coordinate_structure_constraint_complex_left_branch,0.063
coordinate_structure_constraint_object_extraction,0.551
determiner_noun_agreement_1,0.531
determiner_noun_agreement_2,0.506
determiner_noun_agreement_irregular_1,0.529
determiner_noun_agreement_irregular_2,0.587
determiner_noun_agreement_with_adj_2,0.48
determiner_noun_agreement_with_adj_irregular_1,0.54
determiner_noun_agreement_with_adj_irregular_2,0.536
determiner_noun_agreement_with_adjective_1,0.502
distractor_agreement_relational_noun,0.492
distractor_agreement_relative_clause,0.466
drop_argument,0.478
ellipsis_n_bar_1,0.241
ellipsis_n_bar_2,0.448
existential_there_object_raising,0.671
existential_there_quantifiers_1,0.667
existential_there_quantifiers_2,0.136
existential_there_subject_raising,0.595
expletive_it_object_raising,0.602
inchoative,0.414
intransitive,0.399
irregular_past_participle_adjectives,0.14
irregular_past_participle_verbs,0.774
irregular_plural_subject_verb_agreement_1,0.576
irregular_plural_subject_verb_agreement_2,0.564
left_branch_island_echo_question,0.268
left_branch_island_simple_question,0.098
matrix_question_npi_licensor_present,0.255
npi_present_1,0.384
npi_present_2,0.344
only_npi_licensor_present,0.0
only_npi_scope,0.552
passive_1,0.484
passive_2,0.482
principle_A_c_command,0.641
principle_A_case_1,1.0
principle_A_case_2,0.473
principle_A_domain_1,1.0
principle_A_domain_2,0.494
principle_A_domain_3,0.528
principle_A_reconstruction,0.242
regular_plural_subject_verb_agreement_1,0.499
regular_plural_subject_verb_agreement_2,0.48
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.756
sentential_subject_island,0.566
superlative_quantifiers_1,0.488
superlative_quantifiers_2,0.634
tough_vs_raising_1,0.457
tough_vs_raising_2,0.595
transitive,0.565
wh_island,0.904
wh_questions_object_gap,0.445
wh_questions_subject_gap,0.806
wh_questions_subject_gap_long_distance,0.825
wh_vs_that_no_gap,0.74
wh_vs_that_no_gap_long_distance,0.835
wh_vs_that_with_gap,0.281
wh_vs_that_with_gap_long_distance,0.26
