,best
adjunct_island,0.551
anaphor_gender_agreement,0.638
anaphor_number_agreement,0.524
animate_subject_passive,0.573
animate_subject_trans,0.517
causative,0.454
complex_NP_island,0.445
coordinate_structure_constraint_complex_left_branch,0.196
coordinate_structure_constraint_object_extraction,0.288
determiner_noun_agreement_1,0.509
determiner_noun_agreement_2,0.497
determiner_noun_agreement_irregular_1,0.516
determiner_noun_agreement_irregular_2,0.568
determiner_noun_agreement_with_adj_2,0.481
determiner_noun_agreement_with_adj_irregular_1,0.547
determiner_noun_agreement_with_adj_irregular_2,0.533
determiner_noun_agreement_with_adjective_1,0.488
distractor_agreement_relational_noun,0.45
distractor_agreement_relative_clause,0.479
drop_argument,0.408
ellipsis_n_bar_1,0.224
ellipsis_n_bar_2,0.486
existential_there_object_raising,0.671
existential_there_quantifiers_1,0.737
existential_there_quantifiers_2,0.239
existential_there_subject_raising,0.56
expletive_it_object_raising,0.614
inchoative,0.471
intransitive,0.393
irregular_past_participle_adjectives,0.425
irregular_past_participle_verbs,0.78
irregular_plural_subject_verb_agreement_1,0.579
irregular_plural_subject_verb_agreement_2,0.559
left_branch_island_echo_question,0.562
left_branch_island_simple_question,0.27
matrix_question_npi_licensor_present,0.048
npi_present_1,0.385
npi_present_2,0.367
only_npi_licensor_present,0.0
only_npi_scope,0.074
passive_1,0.469
passive_2,0.45
principle_A_c_command,0.565
principle_A_case_1,1.0
principle_A_case_2,0.453
principle_A_domain_1,0.993
principle_A_domain_2,0.505
principle_A_domain_3,0.492
principle_A_reconstruction,0.188
regular_plural_subject_verb_agreement_1,0.526
regular_plural_subject_verb_agreement_2,0.5
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.673
sentential_subject_island,0.557
superlative_quantifiers_1,0.494
superlative_quantifiers_2,0.57
tough_vs_raising_1,0.453
tough_vs_raising_2,0.595
transitive,0.572
wh_island,0.938
wh_questions_object_gap,0.468
wh_questions_subject_gap,0.773
wh_questions_subject_gap_long_distance,0.796
wh_vs_that_no_gap,0.796
wh_vs_that_no_gap_long_distance,0.857
wh_vs_that_with_gap,0.233
wh_vs_that_with_gap_long_distance,0.219
