,checkpoint-8000
adjunct_island,0.681
anaphor_gender_agreement,0.645
anaphor_number_agreement,0.504
animate_subject_passive,0.612
animate_subject_trans,0.658
causative,0.455
complex_NP_island,0.438
coordinate_structure_constraint_complex_left_branch,0.132
coordinate_structure_constraint_object_extraction,0.532
determiner_noun_agreement_1,0.574
determiner_noun_agreement_2,0.491
determiner_noun_agreement_irregular_1,0.556
determiner_noun_agreement_irregular_2,0.583
determiner_noun_agreement_with_adj_2,0.472
determiner_noun_agreement_with_adj_irregular_1,0.502
determiner_noun_agreement_with_adj_irregular_2,0.534
determiner_noun_agreement_with_adjective_1,0.507
distractor_agreement_relational_noun,0.439
distractor_agreement_relative_clause,0.404
drop_argument,0.594
ellipsis_n_bar_1,0.218
ellipsis_n_bar_2,0.458
existential_there_object_raising,0.702
existential_there_quantifiers_1,0.853
existential_there_quantifiers_2,0.293
existential_there_subject_raising,0.529
expletive_it_object_raising,0.681
inchoative,0.407
intransitive,0.468
irregular_past_participle_adjectives,0.555
irregular_past_participle_verbs,0.837
irregular_plural_subject_verb_agreement_1,0.505
irregular_plural_subject_verb_agreement_2,0.562
left_branch_island_echo_question,0.719
left_branch_island_simple_question,0.159
matrix_question_npi_licensor_present,0.072
npi_present_1,0.282
npi_present_2,0.255
only_npi_licensor_present,0.695
only_npi_scope,0.498
passive_1,0.6
passive_2,0.59
principle_A_c_command,0.55
principle_A_case_1,1.0
principle_A_case_2,0.493
principle_A_domain_1,0.999
principle_A_domain_2,0.482
principle_A_domain_3,0.528
principle_A_reconstruction,0.163
regular_plural_subject_verb_agreement_1,0.699
regular_plural_subject_verb_agreement_2,0.476
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.457
sentential_subject_island,0.431
superlative_quantifiers_1,0.438
superlative_quantifiers_2,0.78
tough_vs_raising_1,0.363
tough_vs_raising_2,0.659
transitive,0.643
wh_island,0.759
wh_questions_object_gap,0.581
wh_questions_subject_gap,0.941
wh_questions_subject_gap_long_distance,0.962
wh_vs_that_no_gap,0.995
wh_vs_that_no_gap_long_distance,0.994
wh_vs_that_with_gap,0.007
wh_vs_that_with_gap_long_distance,0.005
