,epoch_7
adjunct_island,0.551
anaphor_gender_agreement,0.67
anaphor_number_agreement,0.512
animate_subject_passive,0.593
animate_subject_trans,0.45
causative,0.419
complex_NP_island,0.479
coordinate_structure_constraint_complex_left_branch,0.565
coordinate_structure_constraint_object_extraction,0.459
determiner_noun_agreement_1,0.521
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.506
determiner_noun_agreement_irregular_2,0.529
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.522
determiner_noun_agreement_with_adj_irregular_2,0.536
determiner_noun_agreement_with_adjective_1,0.524
distractor_agreement_relational_noun,0.47
distractor_agreement_relative_clause,0.517
drop_argument,0.558
ellipsis_n_bar_1,0.379
ellipsis_n_bar_2,0.288
existential_there_object_raising,0.691
existential_there_quantifiers_1,0.749
existential_there_quantifiers_2,0.733
existential_there_subject_raising,0.572
expletive_it_object_raising,0.64
inchoative,0.325
intransitive,0.418
irregular_past_participle_adjectives,0.162
irregular_past_participle_verbs,0.693
irregular_plural_subject_verb_agreement_1,0.525
irregular_plural_subject_verb_agreement_2,0.513
left_branch_island_echo_question,0.547
left_branch_island_simple_question,0.557
matrix_question_npi_licensor_present,0.116
npi_present_1,0.373
npi_present_2,0.305
only_npi_licensor_present,0.965
only_npi_scope,0.675
passive_1,0.629
passive_2,0.622
principle_A_c_command,0.608
principle_A_case_1,1.0
principle_A_case_2,0.446
principle_A_domain_1,1.0
principle_A_domain_2,0.481
principle_A_domain_3,0.522
principle_A_reconstruction,0.337
regular_plural_subject_verb_agreement_1,0.434
regular_plural_subject_verb_agreement_2,0.468
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.55
sentential_subject_island,0.472
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.359
tough_vs_raising_1,0.428
tough_vs_raising_2,0.626
transitive,0.627
wh_island,0.873
wh_questions_object_gap,0.823
wh_questions_subject_gap,0.998
wh_questions_subject_gap_long_distance,0.982
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.0
