,best
adjunct_island,0.518
anaphor_gender_agreement,0.696
anaphor_number_agreement,0.635
animate_subject_passive,0.556
animate_subject_trans,0.352
causative,0.441
complex_NP_island,0.323
coordinate_structure_constraint_complex_left_branch,0.454
coordinate_structure_constraint_object_extraction,0.455
determiner_noun_agreement_1,0.522
determiner_noun_agreement_2,0.499
determiner_noun_agreement_irregular_1,0.525
determiner_noun_agreement_irregular_2,0.542
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.527
determiner_noun_agreement_with_adj_irregular_2,0.547
determiner_noun_agreement_with_adjective_1,0.478
distractor_agreement_relational_noun,0.494
distractor_agreement_relative_clause,0.526
drop_argument,0.503
ellipsis_n_bar_1,0.218
ellipsis_n_bar_2,0.348
existential_there_object_raising,0.674
existential_there_quantifiers_1,0.74
existential_there_quantifiers_2,0.276
existential_there_subject_raising,0.596
expletive_it_object_raising,0.617
inchoative,0.357
intransitive,0.393
irregular_past_participle_adjectives,0.192
irregular_past_participle_verbs,0.621
irregular_plural_subject_verb_agreement_1,0.54
irregular_plural_subject_verb_agreement_2,0.511
left_branch_island_echo_question,0.756
left_branch_island_simple_question,0.479
matrix_question_npi_licensor_present,0.051
npi_present_1,0.287
npi_present_2,0.276
only_npi_licensor_present,0.561
only_npi_scope,0.497
passive_1,0.545
passive_2,0.522
principle_A_c_command,0.373
principle_A_case_1,1.0
principle_A_case_2,0.468
principle_A_domain_1,0.946
principle_A_domain_2,0.493
principle_A_domain_3,0.514
principle_A_reconstruction,0.356
regular_plural_subject_verb_agreement_1,0.448
regular_plural_subject_verb_agreement_2,0.493
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.501
sentential_subject_island,0.45
superlative_quantifiers_1,0.196
superlative_quantifiers_2,0.183
tough_vs_raising_1,0.511
tough_vs_raising_2,0.54
transitive,0.635
wh_island,0.902
wh_questions_object_gap,0.681
wh_questions_subject_gap,0.963
wh_questions_subject_gap_long_distance,0.939
wh_vs_that_no_gap,0.929
wh_vs_that_no_gap_long_distance,0.919
wh_vs_that_with_gap,0.078
wh_vs_that_with_gap_long_distance,0.092
