,checkpoint-20000
adjunct_island,0.711
anaphor_gender_agreement,0.642
anaphor_number_agreement,0.741
animate_subject_passive,0.617
animate_subject_trans,0.808
causative,0.598
complex_NP_island,0.262
coordinate_structure_constraint_complex_left_branch,0.261
coordinate_structure_constraint_object_extraction,0.384
determiner_noun_agreement_1,0.857
determiner_noun_agreement_2,0.859
determiner_noun_agreement_irregular_1,0.765
determiner_noun_agreement_irregular_2,0.845
determiner_noun_agreement_with_adj_2,0.756
determiner_noun_agreement_with_adj_irregular_1,0.713
determiner_noun_agreement_with_adj_irregular_2,0.732
determiner_noun_agreement_with_adjective_1,0.765
distractor_agreement_relational_noun,0.238
distractor_agreement_relative_clause,0.239
drop_argument,0.573
ellipsis_n_bar_1,0.452
ellipsis_n_bar_2,0.721
existential_there_object_raising,0.709
existential_there_quantifiers_1,0.94
existential_there_quantifiers_2,0.667
existential_there_subject_raising,0.688
expletive_it_object_raising,0.699
inchoative,0.478
intransitive,0.49
irregular_past_participle_adjectives,0.757
irregular_past_participle_verbs,0.886
irregular_plural_subject_verb_agreement_1,0.747
irregular_plural_subject_verb_agreement_2,0.735
left_branch_island_echo_question,0.593
left_branch_island_simple_question,0.376
matrix_question_npi_licensor_present,0.184
npi_present_1,0.287
npi_present_2,0.382
only_npi_licensor_present,0.256
only_npi_scope,0.469
passive_1,0.71
passive_2,0.645
principle_A_c_command,0.581
principle_A_case_1,1.0
principle_A_case_2,0.666
principle_A_domain_1,0.994
principle_A_domain_2,0.541
principle_A_domain_3,0.517
principle_A_reconstruction,0.349
regular_plural_subject_verb_agreement_1,0.782
regular_plural_subject_verb_agreement_2,0.712
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.402
sentential_subject_island,0.372
superlative_quantifiers_1,0.904
superlative_quantifiers_2,0.974
tough_vs_raising_1,0.306
tough_vs_raising_2,0.728
transitive,0.689
wh_island,0.41
wh_questions_object_gap,0.585
wh_questions_subject_gap,0.898
wh_questions_subject_gap_long_distance,0.989
wh_vs_that_no_gap,0.909
wh_vs_that_no_gap_long_distance,0.947
wh_vs_that_with_gap,0.155
wh_vs_that_with_gap_long_distance,0.09
