,checkpoint-36000
adjunct_island,0.637
anaphor_gender_agreement,0.698
anaphor_number_agreement,0.853
animate_subject_passive,0.695
animate_subject_trans,0.808
causative,0.69
complex_NP_island,0.373
coordinate_structure_constraint_complex_left_branch,0.223
coordinate_structure_constraint_object_extraction,0.531
determiner_noun_agreement_1,0.89
determiner_noun_agreement_2,0.94
determiner_noun_agreement_irregular_1,0.757
determiner_noun_agreement_irregular_2,0.888
determiner_noun_agreement_with_adj_2,0.887
determiner_noun_agreement_with_adj_irregular_1,0.784
determiner_noun_agreement_with_adj_irregular_2,0.834
determiner_noun_agreement_with_adjective_1,0.83
distractor_agreement_relational_noun,0.339
distractor_agreement_relative_clause,0.327
drop_argument,0.582
ellipsis_n_bar_1,0.513
ellipsis_n_bar_2,0.759
existential_there_object_raising,0.715
existential_there_quantifiers_1,0.969
existential_there_quantifiers_2,0.688
existential_there_subject_raising,0.775
expletive_it_object_raising,0.717
inchoative,0.596
intransitive,0.594
irregular_past_participle_adjectives,0.819
irregular_past_participle_verbs,0.81
irregular_plural_subject_verb_agreement_1,0.774
irregular_plural_subject_verb_agreement_2,0.778
left_branch_island_echo_question,0.464
left_branch_island_simple_question,0.36
matrix_question_npi_licensor_present,0.302
npi_present_1,0.565
npi_present_2,0.441
only_npi_licensor_present,0.854
only_npi_scope,0.606
passive_1,0.696
passive_2,0.68
principle_A_c_command,0.583
principle_A_case_1,1.0
principle_A_case_2,0.684
principle_A_domain_1,0.985
principle_A_domain_2,0.602
principle_A_domain_3,0.543
principle_A_reconstruction,0.387
regular_plural_subject_verb_agreement_1,0.755
regular_plural_subject_verb_agreement_2,0.77
sentential_negation_npi_licensor_present,0.994
sentential_negation_npi_scope,0.36
sentential_subject_island,0.251
superlative_quantifiers_1,0.89
superlative_quantifiers_2,0.957
tough_vs_raising_1,0.35
tough_vs_raising_2,0.738
transitive,0.716
wh_island,0.466
wh_questions_object_gap,0.518
wh_questions_subject_gap,0.866
wh_questions_subject_gap_long_distance,0.961
wh_vs_that_no_gap,0.905
wh_vs_that_no_gap_long_distance,0.957
wh_vs_that_with_gap,0.241
wh_vs_that_with_gap_long_distance,0.128
