,best
adjunct_island,0.488
anaphor_gender_agreement,0.558
anaphor_number_agreement,0.519
animate_subject_passive,0.602
animate_subject_trans,0.476
causative,0.434
complex_NP_island,0.29
coordinate_structure_constraint_complex_left_branch,0.683
coordinate_structure_constraint_object_extraction,0.351
determiner_noun_agreement_1,0.52
determiner_noun_agreement_2,0.503
determiner_noun_agreement_irregular_1,0.511
determiner_noun_agreement_irregular_2,0.523
determiner_noun_agreement_with_adj_2,0.485
determiner_noun_agreement_with_adj_irregular_1,0.509
determiner_noun_agreement_with_adj_irregular_2,0.51
determiner_noun_agreement_with_adjective_1,0.523
distractor_agreement_relational_noun,0.545
distractor_agreement_relative_clause,0.505
drop_argument,0.473
ellipsis_n_bar_1,0.419
ellipsis_n_bar_2,0.377
existential_there_object_raising,0.623
existential_there_quantifiers_1,0.559
existential_there_quantifiers_2,0.75
existential_there_subject_raising,0.369
expletive_it_object_raising,0.591
inchoative,0.366
intransitive,0.373
irregular_past_participle_adjectives,0.602
irregular_past_participle_verbs,0.506
irregular_plural_subject_verb_agreement_1,0.458
irregular_plural_subject_verb_agreement_2,0.557
left_branch_island_echo_question,0.75
left_branch_island_simple_question,0.709
matrix_question_npi_licensor_present,0.136
npi_present_1,0.408
npi_present_2,0.38
only_npi_licensor_present,0.976
only_npi_scope,0.774
passive_1,0.576
passive_2,0.557
principle_A_c_command,0.499
principle_A_case_1,0.898
principle_A_case_2,0.466
principle_A_domain_1,0.967
principle_A_domain_2,0.501
principle_A_domain_3,0.464
principle_A_reconstruction,0.62
regular_plural_subject_verb_agreement_1,0.516
regular_plural_subject_verb_agreement_2,0.502
sentential_negation_npi_licensor_present,0.938
sentential_negation_npi_scope,0.746
sentential_subject_island,0.452
superlative_quantifiers_1,0.491
superlative_quantifiers_2,0.159
tough_vs_raising_1,0.54
tough_vs_raising_2,0.49
transitive,0.602
wh_island,0.854
wh_questions_object_gap,0.905
wh_questions_subject_gap,0.983
wh_questions_subject_gap_long_distance,0.986
wh_vs_that_no_gap,0.95
wh_vs_that_no_gap_long_distance,0.917
wh_vs_that_with_gap,0.058
wh_vs_that_with_gap_long_distance,0.106
