,best
adjunct_island,0.552
anaphor_gender_agreement,0.628
anaphor_number_agreement,0.523
animate_subject_passive,0.604
animate_subject_trans,0.419
causative,0.42
complex_NP_island,0.441
coordinate_structure_constraint_complex_left_branch,0.571
coordinate_structure_constraint_object_extraction,0.401
determiner_noun_agreement_1,0.511
determiner_noun_agreement_2,0.493
determiner_noun_agreement_irregular_1,0.517
determiner_noun_agreement_irregular_2,0.525
determiner_noun_agreement_with_adj_2,0.478
determiner_noun_agreement_with_adj_irregular_1,0.518
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.51
distractor_agreement_relational_noun,0.49
distractor_agreement_relative_clause,0.52
drop_argument,0.49
ellipsis_n_bar_1,0.31
ellipsis_n_bar_2,0.313
existential_there_object_raising,0.681
existential_there_quantifiers_1,0.72
existential_there_quantifiers_2,0.514
existential_there_subject_raising,0.54
expletive_it_object_raising,0.636
inchoative,0.326
intransitive,0.389
irregular_past_participle_adjectives,0.189
irregular_past_participle_verbs,0.67
irregular_plural_subject_verb_agreement_1,0.509
irregular_plural_subject_verb_agreement_2,0.532
left_branch_island_echo_question,0.678
left_branch_island_simple_question,0.632
matrix_question_npi_licensor_present,0.043
npi_present_1,0.396
npi_present_2,0.337
only_npi_licensor_present,0.988
only_npi_scope,0.507
passive_1,0.603
passive_2,0.592
principle_A_c_command,0.52
principle_A_case_1,1.0
principle_A_case_2,0.46
principle_A_domain_1,1.0
principle_A_domain_2,0.491
principle_A_domain_3,0.511
principle_A_reconstruction,0.486
regular_plural_subject_verb_agreement_1,0.472
regular_plural_subject_verb_agreement_2,0.468
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.548
sentential_subject_island,0.431
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.145
tough_vs_raising_1,0.485
tough_vs_raising_2,0.571
transitive,0.619
wh_island,0.863
wh_questions_object_gap,0.808
wh_questions_subject_gap,0.989
wh_questions_subject_gap_long_distance,0.958
wh_vs_that_no_gap,0.997
wh_vs_that_no_gap_long_distance,0.987
wh_vs_that_with_gap,0.002
wh_vs_that_with_gap_long_distance,0.022
