,best
adjunct_island,0.693
superlative_quantifiers_2,0.362
anaphor_gender_agreement,0.663
tough_vs_raising_1,0.488
anaphor_number_agreement,0.604
tough_vs_raising_2,0.572
animate_subject_passive,0.546
wh_questions_subject_gap,0.85
animate_subject_trans,0.433
causative,0.445
wh_vs_that_no_gap,0.959
complex_NP_island,0.412
coordinate_structure_constraint_complex_left_branch,0.18
left_branch_island_echo_question,0.529
coordinate_structure_constraint_object_extraction,0.395
transitive,0.6
determiner_noun_agreement_1,0.573
wh_island,0.78
determiner_noun_agreement_2,0.496
only_npi_scope,0.423
determiner_noun_agreement_irregular_1,0.52
passive_1,0.563
determiner_noun_agreement_irregular_2,0.53
principle_A_domain_1,0.976
determiner_noun_agreement_with_adj_2,0.48
left_branch_island_simple_question,0.203
determiner_noun_agreement_with_adj_irregular_1,0.508
matrix_question_npi_licensor_present,0.108
determiner_noun_agreement_with_adj_irregular_2,0.54
npi_present_1,0.492
determiner_noun_agreement_with_adjective_1,0.519
principle_A_domain_2,0.47
distractor_agreement_relational_noun,0.503
principle_A_domain_3,0.498
distractor_agreement_relative_clause,0.503
drop_argument,0.547
wh_vs_that_with_gap,0.065
ellipsis_n_bar_1,0.257
ellipsis_n_bar_2,0.491
principle_A_reconstruction,0.224
existential_there_object_raising,0.68
regular_plural_subject_verb_agreement_1,0.595
existential_there_quantifiers_1,0.749
regular_plural_subject_verb_agreement_2,0.49
existential_there_quantifiers_2,0.369
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.496
wh_questions_object_gap,0.467
expletive_it_object_raising,0.644
inchoative,0.476
intransitive,0.452
sentential_negation_npi_scope,0.606
irregular_past_participle_adjectives,0.77
sentential_subject_island,0.439
irregular_past_participle_verbs,0.673
npi_present_2,0.428
irregular_plural_subject_verb_agreement_1,0.582
only_npi_licensor_present,0.364
irregular_plural_subject_verb_agreement_2,0.537
passive_2,0.475
principle_A_c_command,0.505
principle_A_case_1,1.0
principle_A_case_2,0.462
superlative_quantifiers_1,0.185
wh_questions_subject_gap_long_distance,0.883
wh_vs_that_no_gap_long_distance,0.955
wh_vs_that_with_gap_long_distance,0.061
