,checkpoint-2000
adjunct_island,0.419
anaphor_gender_agreement,0.608
anaphor_number_agreement,0.494
animate_subject_passive,0.494
animate_subject_trans,0.472
causative,0.48
complex_NP_island,0.496
coordinate_structure_constraint_complex_left_branch,0.542
coordinate_structure_constraint_object_extraction,0.393
determiner_noun_agreement_1,0.513
determiner_noun_agreement_2,0.487
determiner_noun_agreement_irregular_1,0.507
determiner_noun_agreement_irregular_2,0.536
determiner_noun_agreement_with_adj_2,0.478
determiner_noun_agreement_with_adj_irregular_1,0.483
determiner_noun_agreement_with_adj_irregular_2,0.538
determiner_noun_agreement_with_adjective_1,0.508
distractor_agreement_relational_noun,0.473
distractor_agreement_relative_clause,0.501
drop_argument,0.678
ellipsis_n_bar_1,0.524
ellipsis_n_bar_2,0.337
existential_there_object_raising,0.581
existential_there_quantifiers_1,0.49
existential_there_quantifiers_2,0.133
existential_there_subject_raising,0.543
expletive_it_object_raising,0.547
inchoative,0.433
intransitive,0.574
irregular_past_participle_adjectives,0.75
irregular_past_participle_verbs,0.552
irregular_plural_subject_verb_agreement_1,0.48
irregular_plural_subject_verb_agreement_2,0.474
left_branch_island_echo_question,0.435
left_branch_island_simple_question,0.56
matrix_question_npi_licensor_present,0.908
npi_present_1,0.601
npi_present_2,0.515
only_npi_licensor_present,1.0
only_npi_scope,0.966
passive_1,0.588
passive_2,0.593
principle_A_c_command,0.657
principle_A_case_1,0.723
principle_A_case_2,0.472
principle_A_domain_1,0.343
principle_A_domain_2,0.402
principle_A_domain_3,0.5
principle_A_reconstruction,0.405
regular_plural_subject_verb_agreement_1,0.473
regular_plural_subject_verb_agreement_2,0.488
sentential_negation_npi_licensor_present,0.36
sentential_negation_npi_scope,0.506
sentential_subject_island,0.451
superlative_quantifiers_1,0.0
superlative_quantifiers_2,0.265
tough_vs_raising_1,0.413
tough_vs_raising_2,0.587
transitive,0.431
wh_island,0.644
wh_questions_object_gap,0.598
wh_questions_subject_gap,0.557
wh_questions_subject_gap_long_distance,0.524
wh_vs_that_no_gap,0.51
wh_vs_that_no_gap_long_distance,0.44
wh_vs_that_with_gap,0.449
wh_vs_that_with_gap_long_distance,0.552
