,checkpoint-12000
adjunct_island,0.704
anaphor_gender_agreement,0.632
anaphor_number_agreement,0.557
animate_subject_passive,0.629
animate_subject_trans,0.732
causative,0.509
complex_NP_island,0.292
coordinate_structure_constraint_complex_left_branch,0.154
coordinate_structure_constraint_object_extraction,0.432
determiner_noun_agreement_1,0.682
determiner_noun_agreement_2,0.624
determiner_noun_agreement_irregular_1,0.624
determiner_noun_agreement_irregular_2,0.773
determiner_noun_agreement_with_adj_2,0.485
determiner_noun_agreement_with_adj_irregular_1,0.546
determiner_noun_agreement_with_adj_irregular_2,0.548
determiner_noun_agreement_with_adjective_1,0.529
distractor_agreement_relational_noun,0.342
distractor_agreement_relative_clause,0.293
drop_argument,0.565
ellipsis_n_bar_1,0.25
ellipsis_n_bar_2,0.59
existential_there_object_raising,0.709
existential_there_quantifiers_1,0.881
existential_there_quantifiers_2,0.615
existential_there_subject_raising,0.51
expletive_it_object_raising,0.696
inchoative,0.449
intransitive,0.465
irregular_past_participle_adjectives,0.766
irregular_past_participle_verbs,0.837
irregular_plural_subject_verb_agreement_1,0.551
irregular_plural_subject_verb_agreement_2,0.661
left_branch_island_echo_question,0.685
left_branch_island_simple_question,0.221
matrix_question_npi_licensor_present,0.085
npi_present_1,0.214
npi_present_2,0.263
only_npi_licensor_present,0.407
only_npi_scope,0.561
passive_1,0.685
passive_2,0.653
principle_A_c_command,0.623
principle_A_case_1,1.0
principle_A_case_2,0.603
principle_A_domain_1,0.992
principle_A_domain_2,0.489
principle_A_domain_3,0.521
principle_A_reconstruction,0.285
regular_plural_subject_verb_agreement_1,0.734
regular_plural_subject_verb_agreement_2,0.539
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.569
sentential_subject_island,0.451
superlative_quantifiers_1,0.598
superlative_quantifiers_2,0.9
tough_vs_raising_1,0.393
tough_vs_raising_2,0.637
transitive,0.654
wh_island,0.533
wh_questions_object_gap,0.69
wh_questions_subject_gap,0.95
wh_questions_subject_gap_long_distance,0.984
wh_vs_that_no_gap,0.963
wh_vs_that_no_gap_long_distance,0.988
wh_vs_that_with_gap,0.064
wh_vs_that_with_gap_long_distance,0.022
