,checkpoint-16000
adjunct_island,0.768
anaphor_gender_agreement,0.63
anaphor_number_agreement,0.646
animate_subject_passive,0.644
animate_subject_trans,0.791
causative,0.542
complex_NP_island,0.276
coordinate_structure_constraint_complex_left_branch,0.196
coordinate_structure_constraint_object_extraction,0.388
determiner_noun_agreement_1,0.801
determiner_noun_agreement_2,0.76
determiner_noun_agreement_irregular_1,0.684
determiner_noun_agreement_irregular_2,0.823
determiner_noun_agreement_with_adj_2,0.619
determiner_noun_agreement_with_adj_irregular_1,0.656
determiner_noun_agreement_with_adj_irregular_2,0.661
determiner_noun_agreement_with_adjective_1,0.644
distractor_agreement_relational_noun,0.268
distractor_agreement_relative_clause,0.233
drop_argument,0.567
ellipsis_n_bar_1,0.423
ellipsis_n_bar_2,0.73
existential_there_object_raising,0.707
existential_there_quantifiers_1,0.908
existential_there_quantifiers_2,0.739
existential_there_subject_raising,0.614
expletive_it_object_raising,0.706
inchoative,0.468
intransitive,0.476
irregular_past_participle_adjectives,0.927
irregular_past_participle_verbs,0.857
irregular_plural_subject_verb_agreement_1,0.664
irregular_plural_subject_verb_agreement_2,0.757
left_branch_island_echo_question,0.63
left_branch_island_simple_question,0.311
matrix_question_npi_licensor_present,0.158
npi_present_1,0.244
npi_present_2,0.325
only_npi_licensor_present,0.412
only_npi_scope,0.606
passive_1,0.693
passive_2,0.654
principle_A_c_command,0.6
principle_A_case_1,1.0
principle_A_case_2,0.663
principle_A_domain_1,0.993
principle_A_domain_2,0.529
principle_A_domain_3,0.521
principle_A_reconstruction,0.294
regular_plural_subject_verb_agreement_1,0.759
regular_plural_subject_verb_agreement_2,0.692
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.546
sentential_subject_island,0.371
superlative_quantifiers_1,0.606
superlative_quantifiers_2,0.982
tough_vs_raising_1,0.303
tough_vs_raising_2,0.74
transitive,0.669
wh_island,0.462
wh_questions_object_gap,0.587
wh_questions_subject_gap,0.923
wh_questions_subject_gap_long_distance,0.987
wh_vs_that_no_gap,0.943
wh_vs_that_no_gap_long_distance,0.977
wh_vs_that_with_gap,0.119
wh_vs_that_with_gap_long_distance,0.053
