,checkpoint-16000
adjunct_island,0.711
anaphor_gender_agreement,0.593
anaphor_number_agreement,0.764
animate_subject_passive,0.661
animate_subject_trans,0.788
causative,0.523
complex_NP_island,0.347
coordinate_structure_constraint_complex_left_branch,0.288
coordinate_structure_constraint_object_extraction,0.527
determiner_noun_agreement_1,0.776
determiner_noun_agreement_2,0.698
determiner_noun_agreement_irregular_1,0.673
determiner_noun_agreement_irregular_2,0.797
determiner_noun_agreement_with_adj_2,0.61
determiner_noun_agreement_with_adj_irregular_1,0.629
determiner_noun_agreement_with_adj_irregular_2,0.655
determiner_noun_agreement_with_adjective_1,0.612
distractor_agreement_relational_noun,0.262
distractor_agreement_relative_clause,0.23
drop_argument,0.561
ellipsis_n_bar_1,0.274
ellipsis_n_bar_2,0.656
existential_there_object_raising,0.74
existential_there_quantifiers_1,0.892
existential_there_quantifiers_2,0.765
existential_there_subject_raising,0.636
expletive_it_object_raising,0.697
inchoative,0.409
intransitive,0.449
irregular_past_participle_adjectives,0.952
irregular_past_participle_verbs,0.861
irregular_plural_subject_verb_agreement_1,0.689
irregular_plural_subject_verb_agreement_2,0.714
left_branch_island_echo_question,0.654
left_branch_island_simple_question,0.441
matrix_question_npi_licensor_present,0.207
npi_present_1,0.242
npi_present_2,0.29
only_npi_licensor_present,0.662
only_npi_scope,0.586
passive_1,0.76
passive_2,0.715
principle_A_c_command,0.601
principle_A_case_1,1.0
principle_A_case_2,0.524
principle_A_domain_1,0.986
principle_A_domain_2,0.556
principle_A_domain_3,0.528
principle_A_reconstruction,0.433
regular_plural_subject_verb_agreement_1,0.721
regular_plural_subject_verb_agreement_2,0.623
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.627
sentential_subject_island,0.392
superlative_quantifiers_1,0.912
superlative_quantifiers_2,0.982
tough_vs_raising_1,0.35
tough_vs_raising_2,0.697
transitive,0.675
wh_island,0.569
wh_questions_object_gap,0.63
wh_questions_subject_gap,0.891
wh_questions_subject_gap_long_distance,0.985
wh_vs_that_no_gap,0.97
wh_vs_that_no_gap_long_distance,0.995
wh_vs_that_with_gap,0.101
wh_vs_that_with_gap_long_distance,0.035
