,checkpoint-36000
adjunct_island,0.619
anaphor_gender_agreement,0.727
anaphor_number_agreement,0.923
animate_subject_passive,0.697
animate_subject_trans,0.837
causative,0.699
complex_NP_island,0.29
coordinate_structure_constraint_complex_left_branch,0.305
coordinate_structure_constraint_object_extraction,0.512
determiner_noun_agreement_1,0.875
determiner_noun_agreement_2,0.911
determiner_noun_agreement_irregular_1,0.729
determiner_noun_agreement_irregular_2,0.85
determiner_noun_agreement_with_adj_2,0.861
determiner_noun_agreement_with_adj_irregular_1,0.783
determiner_noun_agreement_with_adj_irregular_2,0.804
determiner_noun_agreement_with_adjective_1,0.791
distractor_agreement_relational_noun,0.38
distractor_agreement_relative_clause,0.318
drop_argument,0.584
ellipsis_n_bar_1,0.513
ellipsis_n_bar_2,0.754
existential_there_object_raising,0.724
existential_there_quantifiers_1,0.952
existential_there_quantifiers_2,0.601
existential_there_subject_raising,0.738
expletive_it_object_raising,0.713
inchoative,0.613
intransitive,0.557
irregular_past_participle_adjectives,0.772
irregular_past_participle_verbs,0.871
irregular_plural_subject_verb_agreement_1,0.762
irregular_plural_subject_verb_agreement_2,0.768
left_branch_island_echo_question,0.481
left_branch_island_simple_question,0.43
matrix_question_npi_licensor_present,0.339
npi_present_1,0.469
npi_present_2,0.564
only_npi_licensor_present,0.454
only_npi_scope,0.543
passive_1,0.701
passive_2,0.65
principle_A_c_command,0.597
principle_A_case_1,1.0
principle_A_case_2,0.696
principle_A_domain_1,0.988
principle_A_domain_2,0.595
principle_A_domain_3,0.542
principle_A_reconstruction,0.258
regular_plural_subject_verb_agreement_1,0.823
regular_plural_subject_verb_agreement_2,0.793
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.336
sentential_subject_island,0.316
superlative_quantifiers_1,0.905
superlative_quantifiers_2,0.965
tough_vs_raising_1,0.38
tough_vs_raising_2,0.689
transitive,0.701
wh_island,0.513
wh_questions_object_gap,0.521
wh_questions_subject_gap,0.817
wh_questions_subject_gap_long_distance,0.949
wh_vs_that_no_gap,0.867
wh_vs_that_no_gap_long_distance,0.916
wh_vs_that_with_gap,0.251
wh_vs_that_with_gap_long_distance,0.13
