,checkpoint-32000
adjunct_island,0.598
anaphor_gender_agreement,0.497
anaphor_number_agreement,0.753
animate_subject_passive,0.743
animate_subject_trans,0.603
causative,0.675
complex_NP_island,0.379
coordinate_structure_constraint_complex_left_branch,0.167
coordinate_structure_constraint_object_extraction,0.536
determiner_noun_agreement_1,0.898
determiner_noun_agreement_2,0.929
determiner_noun_agreement_irregular_1,0.753
determiner_noun_agreement_irregular_2,0.854
determiner_noun_agreement_with_adj_2,0.867
determiner_noun_agreement_with_adj_irregular_1,0.769
determiner_noun_agreement_with_adj_irregular_2,0.796
determiner_noun_agreement_with_adjective_1,0.816
distractor_agreement_relational_noun,0.287
distractor_agreement_relative_clause,0.288
drop_argument,0.529
ellipsis_n_bar_1,0.492
ellipsis_n_bar_2,0.726
existential_there_object_raising,0.73
existential_there_quantifiers_1,0.909
existential_there_quantifiers_2,0.597
existential_there_subject_raising,0.716
expletive_it_object_raising,0.68
inchoative,0.542
intransitive,0.539
irregular_past_participle_adjectives,0.814
irregular_past_participle_verbs,0.804
irregular_plural_subject_verb_agreement_1,0.722
irregular_plural_subject_verb_agreement_2,0.735
left_branch_island_echo_question,0.319
left_branch_island_simple_question,0.267
matrix_question_npi_licensor_present,0.256
npi_present_1,0.135
npi_present_2,0.204
only_npi_licensor_present,0.418
only_npi_scope,0.713
passive_1,0.683
passive_2,0.655
principle_A_c_command,0.635
principle_A_case_1,1.0
principle_A_case_2,0.723
principle_A_domain_1,0.981
principle_A_domain_2,0.607
principle_A_domain_3,0.581
principle_A_reconstruction,0.36
regular_plural_subject_verb_agreement_1,0.789
regular_plural_subject_verb_agreement_2,0.748
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.377
sentential_subject_island,0.318
superlative_quantifiers_1,0.773
superlative_quantifiers_2,0.938
tough_vs_raising_1,0.338
tough_vs_raising_2,0.695
transitive,0.704
wh_island,0.613
wh_questions_object_gap,0.586
wh_questions_subject_gap,0.88
wh_questions_subject_gap_long_distance,0.981
wh_vs_that_no_gap,0.954
wh_vs_that_no_gap_long_distance,0.973
wh_vs_that_with_gap,0.217
wh_vs_that_with_gap_long_distance,0.08
