,best
adjunct_island,0.56
anaphor_gender_agreement,0.636
anaphor_number_agreement,0.555
animate_subject_passive,0.572
animate_subject_trans,0.527
causative,0.457
complex_NP_island,0.46
coordinate_structure_constraint_complex_left_branch,0.191
coordinate_structure_constraint_object_extraction,0.285
determiner_noun_agreement_1,0.526
determiner_noun_agreement_2,0.506
determiner_noun_agreement_irregular_1,0.543
determiner_noun_agreement_irregular_2,0.595
determiner_noun_agreement_with_adj_2,0.483
determiner_noun_agreement_with_adj_irregular_1,0.553
determiner_noun_agreement_with_adj_irregular_2,0.523
determiner_noun_agreement_with_adjective_1,0.492
distractor_agreement_relational_noun,0.456
distractor_agreement_relative_clause,0.464
drop_argument,0.406
ellipsis_n_bar_1,0.238
ellipsis_n_bar_2,0.498
existential_there_object_raising,0.669
existential_there_quantifiers_1,0.772
existential_there_quantifiers_2,0.293
existential_there_subject_raising,0.552
expletive_it_object_raising,0.613
inchoative,0.481
intransitive,0.392
irregular_past_participle_adjectives,0.431
irregular_past_participle_verbs,0.788
irregular_plural_subject_verb_agreement_1,0.592
irregular_plural_subject_verb_agreement_2,0.546
left_branch_island_echo_question,0.596
left_branch_island_simple_question,0.292
matrix_question_npi_licensor_present,0.063
npi_present_1,0.34
npi_present_2,0.342
only_npi_licensor_present,0.0
only_npi_scope,0.128
passive_1,0.456
passive_2,0.445
principle_A_c_command,0.586
principle_A_case_1,1.0
principle_A_case_2,0.461
principle_A_domain_1,0.996
principle_A_domain_2,0.511
principle_A_domain_3,0.493
principle_A_reconstruction,0.21
regular_plural_subject_verb_agreement_1,0.527
regular_plural_subject_verb_agreement_2,0.509
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.639
sentential_subject_island,0.551
superlative_quantifiers_1,0.496
superlative_quantifiers_2,0.653
tough_vs_raising_1,0.431
tough_vs_raising_2,0.606
transitive,0.572
wh_island,0.943
wh_questions_object_gap,0.426
wh_questions_subject_gap,0.708
wh_questions_subject_gap_long_distance,0.742
wh_vs_that_no_gap,0.74
wh_vs_that_no_gap_long_distance,0.797
wh_vs_that_with_gap,0.301
wh_vs_that_with_gap_long_distance,0.28
