,best
adjunct_island,0.728
superlative_quantifiers_2,0.317
anaphor_gender_agreement,0.666
tough_vs_raising_1,0.475
anaphor_number_agreement,0.67
tough_vs_raising_2,0.592
animate_subject_passive,0.538
wh_questions_subject_gap,0.859
animate_subject_trans,0.42
causative,0.445
wh_vs_that_no_gap,0.932
complex_NP_island,0.411
coordinate_structure_constraint_complex_left_branch,0.142
left_branch_island_echo_question,0.525
coordinate_structure_constraint_object_extraction,0.36
transitive,0.609
determiner_noun_agreement_1,0.599
wh_island,0.793
determiner_noun_agreement_2,0.506
only_npi_scope,0.458
determiner_noun_agreement_irregular_1,0.546
passive_1,0.581
determiner_noun_agreement_irregular_2,0.569
principle_A_domain_1,0.966
determiner_noun_agreement_with_adj_2,0.485
left_branch_island_simple_question,0.166
determiner_noun_agreement_with_adj_irregular_1,0.513
matrix_question_npi_licensor_present,0.069
determiner_noun_agreement_with_adj_irregular_2,0.546
npi_present_1,0.49
determiner_noun_agreement_with_adjective_1,0.546
principle_A_domain_2,0.456
distractor_agreement_relational_noun,0.492
principle_A_domain_3,0.5
distractor_agreement_relative_clause,0.496
drop_argument,0.53
wh_vs_that_with_gap,0.118
ellipsis_n_bar_1,0.29
ellipsis_n_bar_2,0.492
principle_A_reconstruction,0.194
existential_there_object_raising,0.673
regular_plural_subject_verb_agreement_1,0.609
existential_there_quantifiers_1,0.854
regular_plural_subject_verb_agreement_2,0.518
existential_there_quantifiers_2,0.382
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.499
wh_questions_object_gap,0.49
expletive_it_object_raising,0.649
inchoative,0.476
intransitive,0.447
sentential_negation_npi_scope,0.596
irregular_past_participle_adjectives,0.803
sentential_subject_island,0.445
irregular_past_participle_verbs,0.705
npi_present_2,0.409
irregular_plural_subject_verb_agreement_1,0.632
only_npi_licensor_present,0.499
irregular_plural_subject_verb_agreement_2,0.539
passive_2,0.495
principle_A_c_command,0.519
principle_A_case_1,1.0
principle_A_case_2,0.471
superlative_quantifiers_1,0.124
wh_questions_subject_gap_long_distance,0.902
wh_vs_that_no_gap_long_distance,0.928
wh_vs_that_with_gap_long_distance,0.11
