,checkpoint-36000
adjunct_island,0.643
anaphor_gender_agreement,0.535
anaphor_number_agreement,0.749
animate_subject_passive,0.74
animate_subject_trans,0.631
causative,0.686
complex_NP_island,0.395
coordinate_structure_constraint_complex_left_branch,0.165
coordinate_structure_constraint_object_extraction,0.583
determiner_noun_agreement_1,0.88
determiner_noun_agreement_2,0.937
determiner_noun_agreement_irregular_1,0.757
determiner_noun_agreement_irregular_2,0.854
determiner_noun_agreement_with_adj_2,0.87
determiner_noun_agreement_with_adj_irregular_1,0.79
determiner_noun_agreement_with_adj_irregular_2,0.784
determiner_noun_agreement_with_adjective_1,0.785
distractor_agreement_relational_noun,0.304
distractor_agreement_relative_clause,0.294
drop_argument,0.499
ellipsis_n_bar_1,0.527
ellipsis_n_bar_2,0.73
existential_there_object_raising,0.695
existential_there_quantifiers_1,0.919
existential_there_quantifiers_2,0.484
existential_there_subject_raising,0.76
expletive_it_object_raising,0.694
inchoative,0.532
intransitive,0.499
irregular_past_participle_adjectives,0.868
irregular_past_participle_verbs,0.826
irregular_plural_subject_verb_agreement_1,0.728
irregular_plural_subject_verb_agreement_2,0.784
left_branch_island_echo_question,0.259
left_branch_island_simple_question,0.281
matrix_question_npi_licensor_present,0.32
npi_present_1,0.105
npi_present_2,0.244
only_npi_licensor_present,0.399
only_npi_scope,0.745
passive_1,0.64
passive_2,0.676
principle_A_c_command,0.579
principle_A_case_1,1.0
principle_A_case_2,0.725
principle_A_domain_1,0.962
principle_A_domain_2,0.641
principle_A_domain_3,0.581
principle_A_reconstruction,0.358
regular_plural_subject_verb_agreement_1,0.804
regular_plural_subject_verb_agreement_2,0.758
sentential_negation_npi_licensor_present,0.994
sentential_negation_npi_scope,0.369
sentential_subject_island,0.299
superlative_quantifiers_1,0.851
superlative_quantifiers_2,0.906
tough_vs_raising_1,0.377
tough_vs_raising_2,0.654
transitive,0.704
wh_island,0.505
wh_questions_object_gap,0.575
wh_questions_subject_gap,0.857
wh_questions_subject_gap_long_distance,0.967
wh_vs_that_no_gap,0.957
wh_vs_that_no_gap_long_distance,0.957
wh_vs_that_with_gap,0.205
wh_vs_that_with_gap_long_distance,0.09
