,best
adjunct_island,0.674
superlative_quantifiers_2,0.455
anaphor_gender_agreement,0.609
tough_vs_raising_1,0.449
anaphor_number_agreement,0.608
tough_vs_raising_2,0.622
animate_subject_passive,0.602
wh_questions_subject_gap,0.789
animate_subject_trans,0.639
causative,0.432
wh_vs_that_no_gap,0.957
complex_NP_island,0.438
coordinate_structure_constraint_complex_left_branch,0.159
left_branch_island_echo_question,0.505
coordinate_structure_constraint_object_extraction,0.402
transitive,0.605
determiner_noun_agreement_1,0.574
wh_island,0.658
determiner_noun_agreement_2,0.494
only_npi_scope,0.241
determiner_noun_agreement_irregular_1,0.512
passive_1,0.589
determiner_noun_agreement_irregular_2,0.548
principle_A_domain_1,0.991
determiner_noun_agreement_with_adj_2,0.475
left_branch_island_simple_question,0.154
determiner_noun_agreement_with_adj_irregular_1,0.526
matrix_question_npi_licensor_present,0.076
determiner_noun_agreement_with_adj_irregular_2,0.537
npi_present_1,0.311
determiner_noun_agreement_with_adjective_1,0.513
principle_A_domain_2,0.52
distractor_agreement_relational_noun,0.437
principle_A_domain_3,0.51
distractor_agreement_relative_clause,0.502
drop_argument,0.536
wh_vs_that_with_gap,0.057
ellipsis_n_bar_1,0.372
ellipsis_n_bar_2,0.512
principle_A_reconstruction,0.235
existential_there_object_raising,0.694
regular_plural_subject_verb_agreement_1,0.534
existential_there_quantifiers_1,0.797
regular_plural_subject_verb_agreement_2,0.453
existential_there_quantifiers_2,0.417
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.501
wh_questions_object_gap,0.56
expletive_it_object_raising,0.652
inchoative,0.487
intransitive,0.47
sentential_negation_npi_scope,0.561
irregular_past_participle_adjectives,0.888
sentential_subject_island,0.473
irregular_past_participle_verbs,0.63
npi_present_2,0.296
irregular_plural_subject_verb_agreement_1,0.559
only_npi_licensor_present,0.463
irregular_plural_subject_verb_agreement_2,0.516
passive_2,0.536
principle_A_c_command,0.455
principle_A_case_1,1.0
principle_A_case_2,0.494
superlative_quantifiers_1,0.323
wh_questions_subject_gap_long_distance,0.78
wh_vs_that_no_gap_long_distance,0.929
wh_vs_that_with_gap_long_distance,0.099
