,checkpoint-32000
adjunct_island,0.666
anaphor_gender_agreement,0.709
anaphor_number_agreement,0.922
animate_subject_passive,0.693
animate_subject_trans,0.847
causative,0.682
complex_NP_island,0.285
coordinate_structure_constraint_complex_left_branch,0.278
coordinate_structure_constraint_object_extraction,0.44
determiner_noun_agreement_1,0.874
determiner_noun_agreement_2,0.887
determiner_noun_agreement_irregular_1,0.742
determiner_noun_agreement_irregular_2,0.839
determiner_noun_agreement_with_adj_2,0.802
determiner_noun_agreement_with_adj_irregular_1,0.776
determiner_noun_agreement_with_adj_irregular_2,0.754
determiner_noun_agreement_with_adjective_1,0.789
distractor_agreement_relational_noun,0.285
distractor_agreement_relative_clause,0.281
drop_argument,0.56
ellipsis_n_bar_1,0.518
ellipsis_n_bar_2,0.703
existential_there_object_raising,0.752
existential_there_quantifiers_1,0.959
existential_there_quantifiers_2,0.6
existential_there_subject_raising,0.742
expletive_it_object_raising,0.734
inchoative,0.554
intransitive,0.557
irregular_past_participle_adjectives,0.715
irregular_past_participle_verbs,0.861
irregular_plural_subject_verb_agreement_1,0.786
irregular_plural_subject_verb_agreement_2,0.748
left_branch_island_echo_question,0.524
left_branch_island_simple_question,0.434
matrix_question_npi_licensor_present,0.204
npi_present_1,0.425
npi_present_2,0.622
only_npi_licensor_present,0.448
only_npi_scope,0.497
passive_1,0.672
passive_2,0.684
principle_A_c_command,0.582
principle_A_case_1,1.0
principle_A_case_2,0.702
principle_A_domain_1,0.993
principle_A_domain_2,0.616
principle_A_domain_3,0.541
principle_A_reconstruction,0.292
regular_plural_subject_verb_agreement_1,0.787
regular_plural_subject_verb_agreement_2,0.798
sentential_negation_npi_licensor_present,0.996
sentential_negation_npi_scope,0.313
sentential_subject_island,0.265
superlative_quantifiers_1,0.96
superlative_quantifiers_2,0.979
tough_vs_raising_1,0.29
tough_vs_raising_2,0.771
transitive,0.699
wh_island,0.425
wh_questions_object_gap,0.61
wh_questions_subject_gap,0.912
wh_questions_subject_gap_long_distance,0.991
wh_vs_that_no_gap,0.941
wh_vs_that_no_gap_long_distance,0.965
wh_vs_that_with_gap,0.169
wh_vs_that_with_gap_long_distance,0.082
