,checkpoint-40000
adjunct_island,0.616
anaphor_gender_agreement,0.51
anaphor_number_agreement,0.733
animate_subject_passive,0.729
animate_subject_trans,0.612
causative,0.687
complex_NP_island,0.374
coordinate_structure_constraint_complex_left_branch,0.166
coordinate_structure_constraint_object_extraction,0.464
determiner_noun_agreement_1,0.864
determiner_noun_agreement_2,0.926
determiner_noun_agreement_irregular_1,0.743
determiner_noun_agreement_irregular_2,0.866
determiner_noun_agreement_with_adj_2,0.855
determiner_noun_agreement_with_adj_irregular_1,0.764
determiner_noun_agreement_with_adj_irregular_2,0.774
determiner_noun_agreement_with_adjective_1,0.791
distractor_agreement_relational_noun,0.31
distractor_agreement_relative_clause,0.285
drop_argument,0.509
ellipsis_n_bar_1,0.544
ellipsis_n_bar_2,0.688
existential_there_object_raising,0.711
existential_there_quantifiers_1,0.904
existential_there_quantifiers_2,0.395
existential_there_subject_raising,0.745
expletive_it_object_raising,0.679
inchoative,0.545
intransitive,0.516
irregular_past_participle_adjectives,0.801
irregular_past_participle_verbs,0.755
irregular_plural_subject_verb_agreement_1,0.742
irregular_plural_subject_verb_agreement_2,0.76
left_branch_island_echo_question,0.355
left_branch_island_simple_question,0.251
matrix_question_npi_licensor_present,0.356
npi_present_1,0.075
npi_present_2,0.174
only_npi_licensor_present,0.582
only_npi_scope,0.741
passive_1,0.647
passive_2,0.662
principle_A_c_command,0.601
principle_A_case_1,1.0
principle_A_case_2,0.695
principle_A_domain_1,0.968
principle_A_domain_2,0.631
principle_A_domain_3,0.568
principle_A_reconstruction,0.347
regular_plural_subject_verb_agreement_1,0.789
regular_plural_subject_verb_agreement_2,0.747
sentential_negation_npi_licensor_present,0.977
sentential_negation_npi_scope,0.373
sentential_subject_island,0.348
superlative_quantifiers_1,0.839
superlative_quantifiers_2,0.909
tough_vs_raising_1,0.4
tough_vs_raising_2,0.63
transitive,0.696
wh_island,0.564
wh_questions_object_gap,0.594
wh_questions_subject_gap,0.86
wh_questions_subject_gap_long_distance,0.932
wh_vs_that_no_gap,0.92
wh_vs_that_no_gap_long_distance,0.938
wh_vs_that_with_gap,0.216
wh_vs_that_with_gap_long_distance,0.109
